"",BBK01.CEL202,BBK01.CEL202_FLAGS
"",Currency and deposits                                              debtor: Total            creditor: Domestic financial sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:47:38,
1999-01,-22.0,
1999-04,22.9,
1999-07,62.2,
1999-10,23.1,
2000-01,40.3,
2000-04,-12.0,
2000-07,7.1,
2000-10,114.4,
2001-01,31.1,
2001-04,4.0,
2001-07,65.0,
2001-10,21.9,
2002-01,-57.3,
2002-04,70.5,
2002-07,50.4,
2002-10,100.7,
2003-01,59.4,
2003-04,94.3,
2003-07,-74.4,
2003-10,40.9,
2004-01,-2.6,
2004-04,79.5,
2004-07,18.5,
2004-10,64.7,
2005-01,77.0,
2005-04,76.0,
2005-07,24.6,
2005-10,-41.0,
2006-01,114.3,
2006-04,76.1,
2006-07,6.3,
2006-10,86.5,
2007-01,84.5,
2007-04,62.2,
2007-07,102.8,
2007-10,172.1,
2008-01,-8.4,
2008-04,1.7,
2008-07,219.2,
2008-10,124.8,
2009-01,-244.8,
2009-04,66.1,
2009-07,-231.9,
2009-10,-7.1,
2010-01,-25.0,
2010-04,165.5,
2010-07,-266.9,
2010-10,-49.7,
2011-01,-92.3,
2011-04,13.7,
2011-07,204.3,
2011-10,-44.9,
2012-01,219.6,
2012-04,17.7,
2012-07,-92.8,
2012-10,-230.7,
2013-01,-82.9,
2013-04,-21.2,
2013-07,-132.6,
2013-10,-50.2,
2014-01,24.1,
2014-04,20.2,
2014-07,-21.1,
