"",BBK01.OECB06P,BBK01.OECB06P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:12,
2002-01,0.773,
2002-04,0.776,
2002-07,0.793,
2002-10,0.244,
2003-01,0.351,
2003-04,0.211,
2003-07,0.282,
2003-10,0.251,
2004-01,0.212,
2004-04,0.186,
2004-07,0.243,
2004-10,0.210,
2005-01,0.195,
2005-04,0.225,
2005-07,0.232,
2005-10,0.186,
2006-01,0.205,
2006-04,0.246,
2006-07,0.259,
2006-10,0.227,
2007-01,0.221,
2007-04,0.216,
2007-07,0.196,
2007-10,0.250,
2008-01,0.244,
2008-04,0.241,
2008-07,0.191,
2008-10,0.155,
2009-01,0.152,
2009-04,0.145,
2009-07,0.154,
2009-10,0.093,
2010-01,0.139,
2010-04,0.109,
2010-07,0.124,
2010-10,0.166,
2011-01,0.157,
2011-04,0.142,
2011-07,0.179,
2011-10,0.132,
2012-01,0.169,
2012-04,0.153,
2012-07,0.204,
2012-10,0.130,
2013-01,0.181,
2013-04,0.186,
2013-07,0.176,
2013-10,0.175,
2014-01,0.188,
2014-04,0.185,
2014-07,0.198,
