"",BBK01.BQM207,BBK01.BQM207_FLAGS
"",State government debt - of which loans,
unit,eur (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-16 16:34:38,
2000-01,285463,
2000-04,284441,
2000-07,283452,
2000-10,288728,
2001-01,287775,
2001-04,287849,
2001-07,286707,
2001-10,290011,
2002-01,288385,
2002-04,282397,
2002-07,280724,
2002-10,286043,
2003-01,285106,
2003-04,283023,
2003-07,283513,
2003-10,285702,
2004-01,281914,
2004-04,281149,
2004-07,283671,
2004-10,284303,
2005-01,283394,
2005-04,283571,
2005-07,285649,
2005-10,285196,
2006-01,284073,
2006-04,279259,
2006-07,281134,
2006-10,282054,
2007-01,279159,
2007-04,274064,
2007-07,273316,
2007-10,273756,
2008-01,286134,
2008-04,286648,
2008-07,282877,
2008-10,281831,
2009-01,283781,
2009-04,286305,
2009-07,291402,
2009-10,290512,
2010-01,289704,Provisional value
2010-04,309285,Provisional value
2010-07,307824,Provisional value
2010-10,313338,Provisional value
2011-01,312963,Provisional value
2011-04,305498,Provisional value
2011-07,303394,Provisional value
2011-10,299215,Provisional value
2012-01,296687,Provisional value
2012-04,302299,Provisional value
2012-07,313106,Provisional value
2012-10,297020,Provisional value
2013-01,291924,Provisional value
2013-04,285970,Provisional value
2013-07,283806,Provisional value
2013-10,285530,Provisional value
2014-01,280297,Provisional value
2014-04,274929,Provisional value
2014-07,270093,Provisional value
