"",BBFB1.Q.N.DE.AU.S1.S1.T.A.FA___OWR._T.F._Z._T._X.N,BBFB1.Q.N.DE.AU.S1.S1.T.A.FA___OWR._T.F._Z._T._X.N_FLAGS
"",Financial account (excl. Reserve assets) / Net domestic investment abroad / Australia,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:48:42,
1991-01,381.316,
1991-04,37.883,
1991-07,194.759,
1991-10,-662.212,
1992-01,556.366,
1992-04,-766.216,
1992-07,-522.523,
1992-10,240.313,
1993-01,-178.805,
1993-04,343.599,
1993-07,103.169,
1993-10,12.296,
1994-01,673.706,
1994-04,503.379,
1994-07,381.269,
1994-10,659.346,
1995-01,227.292,
1995-04,2.554,
1995-07,-142.848,
1995-10,-129.711,
1996-01,-131.381,
1996-04,242.009,
1996-07,464.337,
1996-10,-413.465,
1997-01,928.991,
1997-04,682.920,
1997-07,-47.071,
1997-10,-159.306,
1998-01,884.556,
1998-04,-1098.896,
1998-07,-415.088,
1998-10,54.829,
1999-01,540.565,
1999-04,907.627,
1999-07,-367.159,
1999-10,-325.704,
2000-01,1426.088,
2000-04,607.895,
2000-07,1362.675,
2000-10,465.691,
2001-01,270.104,
2001-04,25.790,
2001-07,47.995,
2001-10,-338.027,
2002-01,-1394.155,
2002-04,295.788,
2002-07,684.194,
2002-10,119.398,
2003-01,1155.815,
2003-04,382.634,
2003-07,-938.530,
2003-10,381.822,
2004-01,932.826,
2004-04,-78.573,
2004-07,1065.948,
2004-10,-546.581,
2005-01,1558.959,
2005-04,3049.222,
2005-07,-559.309,
2005-10,506.830,
2006-01,-610.177,
2006-04,13.525,
2006-07,-1119.431,
2006-10,2276.982,
2007-01,438.261,
2007-04,2353.222,
2007-07,-293.521,
2007-10,337.580,
2008-01,718.375,
2008-04,1275.685,
2008-07,459.676,
2008-10,-1917.057,
2009-01,-140.359,
2009-04,577.881,
2009-07,-1109.109,
2009-10,49.384,
2010-01,1086.160,
2010-04,-697.685,
2010-07,760.847,
2010-10,3939.378,
2011-01,492.404,
2011-04,2002.781,
2011-07,-5801.432,
2011-10,700.282,
2012-01,3789.117,
2012-04,538.601,
2012-07,1726.828,
2012-10,-184.899,
2013-01,364.431,
2013-04,1228.794,
2013-07,1512.307,
2013-10,478.183,
2014-01,2448.648,Provisional value
2014-04,1544.364,Provisional value
2014-07,1905.379,Provisional value
2014-10,1626.429,Provisional value
