"",BBK01.OEAC37T,BBK01.OEAC37T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:53:41,
2002-01,0.041,
2002-04,0.041,
2002-07,0.036,
2002-10,0.038,
2003-01,0.030,
2003-04,0.032,
2003-07,0.031,
2003-10,0.030,
2004-01,0.029,
2004-04,0.031,
2004-07,0.031,
2004-10,0.031,
2005-01,0.028,
2005-04,0.030,
2005-07,0.031,
2005-10,0.029,
2006-01,0.030,
2006-04,0.031,
2006-07,0.030,
2006-10,0.028,
2007-01,0.029,
2007-04,0.029,
2007-07,0.029,
2007-10,0.033,
2008-01,0.038,
2008-04,0.039,
2008-07,0.039,
2008-10,0.038,
2009-01,0.033,
2009-04,0.029,
2009-07,0.028,
2009-10,0.027,
2010-01,0.026,
2010-04,0.029,
2010-07,0.029,
2010-10,0.011,
2011-01,0.016,
2011-04,0.014,
2011-07,0.015,
2011-10,0.015,
2012-01,0.015,
2012-04,0.016,
2012-07,0.016,
2012-10,0.018,
2013-01,0.019,
2013-04,0.018,
2013-07,0.020,
2013-10,0.022,
2014-01,0.022,
2014-04,0.023,
2014-07,0.024,
