"",BBSF2.M.1.S.I0002.DAC01.I.F.MIZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0002.DAC01.I.F.MIZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds-of-funds / Sales receipts / Pension fund institutions / Distribution and cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:54:37,
2009-09,55,
2009-10,190,
2009-11,232,
2009-12,79,
2010-01,92,
2010-02,295,
2010-03,314,
2010-04,148,
2010-05,117,
2010-06,41,
2010-07,80,
2010-08,237,
2010-09,267,
2010-10,322,
2010-11,305,
2010-12,839,
2011-01,83,
2011-02,55,
2011-03,135,
2011-04,140,
2011-05,372,
2011-06,169,
2011-07,304,
2011-08,207,
2011-09,494,
2011-10,430,
2011-11,196,
2011-12,703,
2012-01,253,
2012-02,129,
2012-03,80,
2012-04,114,
2012-05,50,
2012-06,541,
2012-07,339,
2012-08,49,
2012-09,11,
2012-10,2,
2012-11,64,
2012-12,678,
2013-01,427,
2013-02,54,
2013-03,6,
2013-04,477,
2013-05,5,
2013-06,380,
2013-07,42,
2013-08,72,
2013-09,38,
2013-10,3,
2013-11,19,
2013-12,516,
2014-01,4,
2014-02,205,
2014-03,203,
2014-04,309,
2014-05,45,
2014-06,441,
2014-07,434,
2014-08,322,
2014-09,290,
2014-10,327,
2014-11,268,
