"",BBK01.OEAN06M,BBK01.OEAN06M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:02,
2002-01,8.835,
2002-04,8.462,
2002-07,8.359,
2002-10,8.315,
2003-01,8.116,
2003-04,7.524,
2003-07,7.050,
2003-10,6.982,
2004-01,6.874,
2004-04,6.657,
2004-07,6.628,
2004-10,6.893,
2005-01,7.005,
2005-04,6.879,
2005-07,6.764,
2005-10,6.896,
2006-01,7.307,
2006-04,7.580,
2006-07,7.969,
2006-10,8.340,
2007-01,8.835,
2007-04,8.941,
2007-07,9.083,
2007-10,9.364,
2008-01,9.284,
2008-04,8.999,
2008-07,8.871,
2008-10,9.442,
2009-01,9.172,
2009-04,9.661,
2009-07,9.759,
2009-10,9.496,
2010-01,9.678,
2010-04,9.536,
2010-07,8.958,
2010-10,8.655,
2011-01,8.789,
2011-04,8.546,
2011-07,8.506,
2011-10,8.280,
2012-01,8.101,
2012-04,7.888,
2012-07,7.627,
2012-10,7.255,
2013-01,7.098,
2013-04,6.764,
2013-07,6.558,
2013-10,6.325,
2014-01,6.162,
2014-04,5.809,
2014-07,5.890,
