"",BBK01.OEBL05K,BBK01.OEBL05K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:27,
2002-01,0.135,
2002-04,0.134,
2002-07,0.094,
2002-10,0.102,
2003-01,0.108,
2003-04,0.112,
2003-07,0.115,
2003-10,0.113,
2004-01,0.114,
2004-04,0.119,
2004-07,0.111,
2004-10,0.104,
2005-01,0.154,
2005-04,0.153,
2005-07,0.154,
2005-10,0.153,
2006-01,0.145,
2006-04,0.144,
2006-07,0.157,
2006-10,0.152,
2007-01,0.142,
2007-04,0.137,
2007-07,0.142,
2007-10,0.141,
2008-01,0.141,
2008-04,0.143,
2008-07,0.146,
2008-10,0.164,
2009-01,0.180,
2009-04,0.219,
2009-07,0.223,
2009-10,0.249,
2010-01,0.257,
2010-04,0.267,
2010-07,0.251,
2010-10,0.253,
2011-01,0.253,
2011-04,0.217,
2011-07,0.210,
2011-10,0.212,
2012-01,0.254,
2012-04,0.264,
2012-07,0.268,
2012-10,0.262,
2013-01,0.256,
2013-04,0.253,
2013-07,0.251,
2013-10,0.242,
2014-01,0.229,
2014-04,0.234,
2014-07,0.217,
