"",BBK01.OEXI04M,BBK01.OEXI04M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:49,
2002-01,3.729,
2002-04,3.610,
2002-07,3.898,
2002-10,4.048,
2003-01,3.780,
2003-04,3.502,
2003-07,3.090,
2003-10,2.697,
2004-01,2.629,
2004-04,2.287,
2004-07,2.259,
2004-10,2.210,
2005-01,2.036,
2005-04,2.201,
2005-07,2.143,
2005-10,2.351,
2006-01,2.458,
2006-04,2.557,
2006-07,2.515,
2006-10,2.863,
2007-01,3.106,
2007-04,3.358,
2007-07,3.607,
2007-10,4.061,
2008-01,4.963,
2008-04,5.145,
2008-07,5.906,
2008-10,7.032,
2009-01,6.227,
2009-04,6.079,
2009-07,4.934,
2009-10,3.812,
2010-01,2.894,
2010-04,2.394,
2010-07,1.658,
2010-10,3.001,
2011-01,2.620,
2011-04,2.696,
2011-07,2.978,
2011-10,3.316,
2012-01,3.556,
2012-04,3.715,
2012-07,3.808,
2012-10,4.152,
2013-01,4.005,
2013-04,3.705,
2013-07,3.384,
2013-10,3.473,
2014-01,3.613,
2014-04,4.772,
2014-07,4.475,
