"",BBK01.OEAA02V,BBK01.OEAA02V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:21:02,
2002-01,6.629,
2002-04,7.326,
2002-07,6.993,
2002-10,7.724,
2003-01,6.708,
2003-04,6.593,
2003-07,6.547,
2003-10,6.629,
2004-01,6.315,
2004-04,5.919,
2004-07,5.719,
2004-10,5.510,
2005-01,5.395,
2005-04,5.240,
2005-07,5.243,
2005-10,6.185,
2006-01,6.650,
2006-04,6.537,
2006-07,6.651,
2006-10,6.621,
2007-01,6.590,
2007-04,6.575,
2007-07,13.212,
2007-10,10.335,
2008-01,9.861,
2008-04,3.923,
2008-07,4.078,
2008-10,3.971,
2009-01,3.798,
2009-04,3.870,
2009-07,3.724,
2009-10,3.680,
2010-01,3.570,
2010-04,4.499,
2010-07,4.093,
2010-10,3.779,
2011-01,3.674,
2011-04,3.720,
2011-07,4.167,
2011-10,4.074,
2012-01,3.865,
2012-04,3.908,
2012-07,3.807,
2012-10,3.582,
2013-01,3.619,
2013-04,3.274,
2013-07,3.591,
2013-10,3.342,
2014-01,3.365,
2014-04,3.602,
2014-07,3.622,
