"",BBK01.OEAE20I,BBK01.OEAE20I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:25,
2002-01,0.488,
2002-04,0.474,
2002-07,0.356,
2002-10,0.284,
2003-01,0.275,
2003-04,0.261,
2003-07,0.267,
2003-10,0.283,
2004-01,0.271,
2004-04,0.280,
2004-07,0.276,
2004-10,0.280,
2005-01,0.264,
2005-04,0.273,
2005-07,0.266,
2005-10,0.267,
2006-01,0.298,
2006-04,0.299,
2006-07,0.282,
2006-10,0.281,
2007-01,0.243,
2007-04,0.233,
2007-07,0.239,
2007-10,0.159,
2008-01,0.195,
2008-04,0.203,
2008-07,0.247,
2008-10,0.294,
2009-01,0.398,
2009-04,0.391,
2009-07,0.460,
2009-10,0.461,
2010-01,0.466,
2010-04,0.485,
2010-07,0.506,
2010-10,1.156,
2011-01,1.091,
2011-04,0.664,
2011-07,0.647,
2011-10,0.672,
2012-01,0.685,
2012-04,0.696,
2012-07,0.702,
2012-10,0.720,
2013-01,0.809,
2013-04,0.811,
2013-07,0.887,
2013-10,1.102,
2014-01,1.119,
2014-04,1.190,
2014-07,1.172,
