"",BBK01.OELB16V,BBK01.OELB16V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:56,
2002-01,0.995,
2002-04,0.991,
2002-07,0.978,
2002-10,0.972,
2003-01,0.963,
2003-04,0.954,
2003-07,0.951,
2003-10,0.938,
2004-01,0.915,
2004-04,0.899,
2004-07,0.880,
2004-10,0.872,
2005-01,0.845,
2005-04,0.835,
2005-07,0.815,
2005-10,0.810,
2006-01,0.796,
2006-04,0.795,
2006-07,0.777,
2006-10,0.786,
2007-01,0.782,
2007-04,0.782,
2007-07,0.778,
2007-10,0.788,
2008-01,0.782,
2008-04,0.782,
2008-07,0.795,
2008-10,0.804,
2009-01,0.798,
2009-04,0.799,
2009-07,0.810,
2009-10,0.818,
2010-01,0.817,
2010-04,0.821,
2010-07,0.831,
2010-10,0.834,
2011-01,0.839,
2011-04,0.838,
2011-07,0.841,
2011-10,0.854,
2012-01,0.858,
2012-04,1.832,
2012-07,1.834,
2012-10,1.845,
2013-01,1.848,
2013-04,1.848,
2013-07,1.864,
2013-10,1.869,
2014-01,1.865,
2014-04,1.866,
2014-07,1.873,
