"",BBFN1.M.DE.N.1.A.BR.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.BR.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from financial operations / Total / Brazil,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:22:23,
1982-09,0.296,
1982-10,0.297,
1982-11,0.288,
1982-12,0.280,
1983-01,0.290,
1983-02,0.295,
1983-03,0.288,
1983-04,0.292,
1983-05,0.303,
1983-06,0.322,
1983-07,0.326,
1983-08,0.343,
1983-09,0.331,
1983-10,0.332,
1983-11,0.334,
1983-12,0.267,
1984-01,0.287,
1984-02,0.296,
1984-03,0.299,
1984-04,0.298,
1984-05,0.307,
1984-06,0.312,
1984-07,0.305,
1984-08,0.315,
1984-09,0.311,
1984-10,0.323,
1984-11,0.312,
1984-12,0.283,
1985-01,0.304,
1985-02,0.319,
1985-03,0.270,
1985-04,0.272,
1985-05,0.278,
1985-06,0.283,
1985-07,0.284,
1985-08,0.289,
1985-09,0.281,
1985-10,0.280,
1985-11,0.281,
1985-12,0.266,
1986-01,0.286,
1986-02,0.282,
1986-03,0.278,
1986-04,0.251,
1986-05,0.253,
1986-06,0.258,
1986-07,0.260,
1986-08,0.263,
1986-09,0.255,
1986-10,0.256,
1986-11,0.266,
1986-12,0.267,
1987-01,0.256,
1987-02,0.277,
1987-03,0.263,
1987-04,0.270,
1987-05,0.268,
1987-06,0.259,
1987-07,0.264,
1987-08,0.246,
1987-09,0.241,
1987-10,0.241,
1987-11,0.243,
1987-12,0.244,
1988-01,0.249,
1988-02,0.252,
1988-03,0.248,
1988-04,0.250,
1988-05,0.255,
1988-06,0.257,
1988-07,0.257,
1988-08,0.242,
1988-09,0.256,
1988-10,0.252,
1988-11,0.238,
1988-12,0.240,
1989-01,0.248,
1989-02,0.237,
1989-03,0.237,
1989-04,0.228,
1989-05,0.232,
1989-06,0.236,
1989-07,0.231,
1989-08,0.243,
1989-09,0.245,
1989-10,0.235,
1989-11,0.233,
1989-12,0.252,
1990-01,0.261,
1990-02,0.277,
1990-03,0.260,
1990-04,0.262,
1990-05,0.331,
1990-06,0.358,
1990-07,0.325,
1990-08,0.313,
1990-09,0.302,
1990-10,0.265,
1990-11,0.255,
1990-12,0.248,
1991-01,0.250,
1991-02,0.251,
1991-03,0.254,
1991-04,0.265,
1991-05,0.288,
1991-06,0.281,
1991-07,0.277,
1991-08,0.274,
1991-09,0.269,
1991-10,0.269,
1991-11,0.299,
1991-12,0.282,
1992-01,0.292,
1992-02,0.287,
1992-03,0.286,
1992-04,0.289,
1992-05,0.292,
1992-06,0.305,
1992-07,0.335,
1992-08,0.332,
1992-09,0.283,
1992-10,0.282,
1992-11,0.278,
1992-12,0.303,
1993-01,0.297,
1993-02,0.298,
1993-03,0.301,
1993-04,0.299,
1993-05,0.295,
1993-06,0.300,
1993-07,0.303,
1993-08,0.298,
1993-09,0.296,
1993-10,0.291,
1993-11,0.293,
1993-12,0.293,
1994-01,0.299,
1994-02,0.303,
1994-03,0.274,
1994-04,0.271,
1994-05,0.263,
1994-06,0.253,
1994-07,0.243,
1994-08,0.241,
1994-09,0.239,
1994-10,0.212,
1994-11,0.205,
1994-12,0.246,
1995-01,0.228,
1995-02,0.223,
1995-03,0.224,
1995-04,0.230,
1995-05,0.253,
1995-06,0.268,
1995-07,0.270,
1995-08,0.273,
1995-09,0.285,
1995-10,0.328,
1995-11,0.365,
1995-12,0.337,
1996-01,0.330,
1996-02,0.304,
1996-03,0.308,
1996-04,0.264,
1996-05,0.281,
1996-06,0.278,
1996-07,0.285,
1996-08,0.276,
1996-09,0.297,
1996-10,0.262,
1996-11,0.271,
1996-12,0.308,
1997-01,0.310,
1997-02,0.269,
1997-03,0.252,
1997-04,0.244,
1997-05,0.245,
1997-06,0.245,
1997-07,0.350,
1997-08,0.410,
1997-09,0.429,
1997-10,0.438,
1997-11,0.518,
1997-12,0.531,
1998-01,0.590,
1998-02,0.638,
1998-03,0.632,
1998-04,0.661,
1998-05,0.647,
1998-06,0.661,
1998-07,0.645,
1998-08,0.675,
1998-09,0.696,
1998-10,0.758,
1998-11,0.714,
1998-12,0.770,
1999-01,0.763,
1999-02,0.766,
1999-03,0.819,
1999-04,0.831,
1999-05,0.930,
1999-06,0.946,
1999-07,0.982,
1999-08,1.025,
1999-09,1.040,
1999-10,1.054,
1999-11,1.058,
1999-12,1.004,
2000-01,0.981,
2000-02,1.036,
2000-03,1.013,
2000-04,1.028,
2000-05,1.036,
2000-06,1.013,
2000-07,1.036,
2000-08,1.052,
2000-09,1.095,
2000-10,1.003,
2000-11,0.971,
2000-12,0.990,
2001-01,1.068,
2001-02,1.075,
2001-03,1.099,
2001-04,1.516,
2001-05,1.264,
2001-06,1.530,
2001-07,1.764,
2001-08,1.782,
2001-09,1.761,
2001-10,1.762,
2001-11,1.578,
2001-12,1.648,
2002-01,1.690,
2002-02,1.642,
2002-03,1.638,
2002-04,1.676,
2002-05,1.677,
2002-06,1.643,
2002-07,1.724,
2002-08,1.723,
2002-09,1.686,
2002-10,1.562,
2002-11,1.869,
2002-12,1.519,
2003-01,1.081,
2003-02,1.056,
2003-03,1.067,
2003-04,1.055,
2003-05,1.052,
2003-06,1.037,
2003-07,1.127,
2003-08,1.163,
2003-09,1.190,
2003-10,1.317,
2003-11,1.350,
2003-12,1.053,
2004-01,1.340,
2004-02,1.339,
2004-03,1.053,
2004-04,1.283,
2004-05,1.287,
2004-06,1.072,
2004-07,1.216,
2004-08,1.241,
2004-09,1.175,
2004-10,1.180,
2004-11,1.181,
2004-12,0.997,
2005-01,0.955,
2005-02,0.994,
2005-03,1.219,
2005-04,1.241,
2005-05,1.248,
2005-06,1.248,
2005-07,1.278,
2005-08,1.201,
2005-09,1.148,
2005-10,1.135,
2005-11,1.126,
2005-12,0.892,
2006-01,0.915,
2006-02,0.965,
2006-03,0.982,
2006-04,0.955,
2006-05,1.004,
2006-06,1.076,
2006-07,1.089,
2006-08,1.087,
2006-09,1.102,
2006-10,1.571,
2006-11,1.541,
2006-12,1.153,
2007-01,1.133,
2007-02,1.162,
2007-03,1.164,
2007-04,1.161,
2007-05,1.122,
2007-06,1.130,
2007-07,1.081,
2007-08,1.097,
2007-09,1.069,
2007-10,0.961,
2007-11,0.934,
2007-12,0.916,
2008-01,0.896,
2008-02,0.944,
2008-03,0.955,
2008-04,0.927,
2008-05,0.938,
2008-06,0.888,
2008-07,0.928,
2008-08,0.937,
2008-09,0.986,
2008-10,1.070,
2008-11,1.178,
2008-12,1.097,
2009-01,1.137,
2009-02,1.197,
2009-03,1.175,
2009-04,1.074,
2009-05,1.048,
2009-06,0.912,
2009-07,0.938,
2009-08,0.898,
2009-09,0.898,
2009-10,0.875,
2009-11,0.864,
2009-12,0.827,
2010-01,0.834,
2010-02,0.882,
2010-03,0.874,
2010-04,0.881,
2010-05,0.893,
2010-06,0.955,
2010-07,0.990,
2010-08,1.008,
2010-09,0.955,
2010-10,0.939,
2010-11,0.992,
2010-12,0.995,
2011-01,1.018,
2011-02,0.985,
2011-03,0.998,
2011-04,0.983,
2011-05,1.031,
2011-06,1.025,
2011-07,1.094,
2011-08,1.101,
2011-09,1.374,
2011-10,1.390,
2011-11,1.600,
2011-12,1.682,
2012-01,1.818,
2012-02,1.877,
2012-03,1.855,
2012-04,1.871,
2012-05,1.822,
2012-06,1.863,
2012-07,1.826,
2012-08,1.805,
2012-09,1.853,
2012-10,1.925,
2012-11,1.937,
2012-12,2.040,
2013-01,2.096,
2013-02,2.229,
2013-03,2.350,
2013-04,2.497,
2013-05,2.679,
2013-06,2.842,
2013-07,2.842,
2013-08,3.088,
2013-09,3.027,
2013-10,3.071,
2013-11,3.073,
2013-12,3.121,
2014-01,3.208,
2014-02,3.215,
2014-03,3.249,
2014-04,3.238,
2014-05,3.330,
2014-06,3.357,
2014-07,3.399,
2014-08,3.471,
2014-09,3.524,
2014-10,3.939,
2014-11,3.833,
2014-12,4.179,
