"",BBK01.OEHJ07P,BBK01.OEHJ07P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:02:53,
2002-01,0.054,
2002-04,0.051,
2002-07,0.050,
2002-10,0.053,
2003-01,0.058,
2003-04,0.060,
2003-07,0.058,
2003-10,0.068,
2004-01,0.067,
2004-04,0.057,
2004-07,0.059,
2004-10,0.058,
2005-01,0.061,
2005-04,0.058,
2005-07,0.055,
2005-10,0.063,
2006-01,0.056,
2006-04,0.057,
2006-07,0.057,
2006-10,0.057,
2007-01,0.058,
2007-04,0.058,
2007-07,0.058,
2007-10,0.057,
2008-01,0.055,
2008-04,0.057,
2008-07,0.064,
2008-10,0.071,
2009-01,0.066,
2009-04,0.056,
2009-07,0.069,
2009-10,0.040,
2010-01,0.044,
2010-04,0.041,
2010-07,0.039,
2010-10,0.043,
2011-01,0.051,
2011-04,0.040,
2011-07,0.039,
2011-10,0.040,
2012-01,0.040,
2012-04,0.043,
2012-07,0.053,
2012-10,0.058,
2013-01,0.064,
2013-04,0.070,
2013-07,0.066,
2013-10,0.069,
2014-01,0.066,
2014-04,0.072,
2014-07,0.068,
