"",BBFB1.Q.N.DE.PL.S1.S1.T.C.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.PL.S1.S1.T.C.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Receipts / Poland,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:30:21,
1991-01,40.861,
1991-04,43.645,
1991-07,57.109,
1991-10,52.323,
1992-01,55.228,
1992-04,54.032,
1992-07,46.282,
1992-10,48.137,
1993-01,33.263,
1993-04,33.306,
1993-07,33.354,
1993-10,55.915,
1994-01,97.327,
1994-04,113.807,
1994-07,106.939,
1994-10,94.443,
1995-01,68.100,
1995-04,69.204,
1995-07,74.317,
1995-10,68.269,
1996-01,49.433,
1996-04,48.517,
1996-07,53.983,
1996-10,52.473,
1997-01,49.708,
1997-04,47.321,
1997-07,54.740,
1997-10,60.772,
1998-01,85.638,
1998-04,108.644,
1998-07,129.363,
1998-10,110.637,
1999-01,121.624,
1999-04,88.608,
1999-07,132.243,
1999-10,97.388,
2000-01,122.067,
2000-04,129.864,
2000-07,198.527,
2000-10,177.917,
2001-01,133.061,
2001-04,143.193,
2001-07,121.467,
2001-10,117.296,
2002-01,119.933,
2002-04,124.364,
2002-07,150.724,
2002-10,113.117,
2003-01,135.029,
2003-04,148.725,
2003-07,154.423,
2003-10,164.231,
2004-01,445.756,
2004-04,437.569,
2004-07,452.524,
2004-10,445.306,
2005-01,454.085,
2005-04,467.777,
2005-07,502.344,
2005-10,528.543,
2006-01,534.059,
2006-04,547.706,
2006-07,569.484,
2006-10,590.325,
2007-01,884.409,
2007-04,853.787,
2007-07,773.195,
2007-10,641.500,
2008-01,770.250,
2008-04,522.739,
2008-07,474.671,
2008-10,631.186,
2009-01,610.451,
2009-04,615.257,
2009-07,643.091,
2009-10,676.408,
2010-01,733.849,
2010-04,780.319,
2010-07,810.290,
2010-10,836.724,
2011-01,750.766,
2011-04,772.870,
2011-07,800.414,
2011-10,814.426,
2012-01,820.074,
2012-04,796.951,
2012-07,819.098,
2012-10,829.623,
2013-01,723.902,
2013-04,778.121,
2013-07,692.984,
2013-10,687.807,
2014-01,701.867,Provisional value
2014-04,813.973,Provisional value
2014-07,689.497,Provisional value
