"",BBK01.TXI379,BBK01.TXI379_FLAGS
"",DEPOSITS OF GENERAL GOVERNMENT / OTHER GENERAL GOVERNMENT / WITH AGREED MATURITIES OF UP TO 1 YEAR / GERMAN CONTRIBUTION,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-26 15:19:34,
1980-01,11659,
1980-02,12159,
1980-03,11918,
1980-04,10862,
1980-05,12567,
1980-06,11812,
1980-07,11297,
1980-08,12848,
1980-09,12113,
1980-10,11326,
1980-11,11779,
1980-12,12707,
1981-01,12451,
1981-02,12851,
1981-03,12062,
1981-04,11389,
1981-05,13079,
1981-06,12560,
1981-07,12263,
1981-08,13410,
1981-09,13244,
1981-10,12583,
1981-11,13176,
1981-12,14441,
1982-01,13921,
1982-02,13739,
1982-03,13375,
1982-04,12587,
1982-05,13681,
1982-06,13633,
1982-07,13260,
1982-08,14515,
1982-09,14565,
1982-10,14046,
1982-11,13568,
1982-12,15692,
1983-01,14527,
1983-02,14750,
1983-03,14232,
1983-04,13447,
1983-05,15053,
1983-06,14469,
1983-07,13694,
1983-08,14884,
1983-09,14778,
1983-10,14170,
1983-11,13583,
1983-12,14868,
1984-01,14131,
1984-02,14174,
1984-03,13550,
1984-04,12917,
1984-05,15715,
1984-06,15189,
1984-07,14189,
1984-08,15434,
1984-09,15344,
1984-10,13357,
1984-11,12409,
1984-12,14027,
1985-01,14149,
1985-02,15284,
1985-03,14540,
1985-04,14299,
1985-05,16658,
1985-06,16716,
1985-07,15583,
1985-08,16979,
1985-09,15693,
1985-10,13695,
1985-11,13633,
1985-12,16733,
1986-01,16659,
1986-02,17019,
1986-03,16159,
1986-04,15283,
1986-05,17966,
1986-06,17275,
1986-07,17005,
1986-08,19058,
1986-09,18420,
1986-10,17333,
1986-11,17188,
1986-12,19517,
1987-01,19194,
1987-02,19028,
1987-03,17713,
1987-04,16368,
1987-05,18767,
1987-06,17833,
1987-07,17238,
1987-08,18481,
1987-09,18032,
1987-10,16541,
1987-11,17491,
1987-12,19462,
1988-01,18809,
1988-02,18414,
1988-03,17041,
1988-04,16296,
1988-05,18314,
1988-06,17867,
1988-07,16834,
1988-08,18417,
1988-09,18408,
1988-10,17027,
1988-11,17597,
1988-12,20181,
1989-01,18687,
1989-02,19082,
1989-03,18862,
1989-04,17953,
1989-05,20430,
1989-06,20114,
1989-07,19793,
1989-08,21429,
1989-09,21129,
1989-10,19458,
1989-11,20917,
1989-12,23706,
1990-01,22250,
1990-02,23427,
1990-03,22723,
1990-04,21311,
1990-05,23867,
1990-06,23973,
1990-07,22472,
1990-08,25109,
1990-09,25193,
1990-10,24058,
1990-11,24354,
1990-12,27403,
1991-01,27013,
1991-02,28484,
1991-03,27881,
1991-04,27183,
1991-05,29419,
1991-06,29904,
1991-07,27733,
1991-08,30011,
1991-09,28911,
1991-10,26776,
1991-11,28122,
1991-12,30321,
1992-01,30527,
1992-02,30472,
1992-03,28746,
1992-04,25495,
1992-05,26791,
1992-06,26277,
1992-07,25336,
1992-08,26286,
1992-09,27767,
1992-10,25775,
1992-11,26089,
1992-12,30118,
1993-01,29029,
1993-02,29805,
1993-03,28388,
1993-04,27455,
1993-05,29664,
1993-06,29388,
1993-07,29275,
1993-08,29645,
1993-09,27746,
1993-10,26850,
1993-11,26739,
1993-12,31900,
1994-01,29597,
1994-02,29695,
1994-03,28339,
1994-04,28351,
1994-05,29618,
1994-06,28928,
1994-07,27182,
1994-08,28610,
1994-09,26808,
1994-10,26136,
1994-11,25393,
1994-12,30056,
1995-01,28305,
1995-02,27567,
1995-03,25610,
1995-04,23197,
1995-05,25620,
1995-06,23023,
1995-07,21772,
1995-08,23656,
1995-09,21678,
1995-10,19424,
1995-11,19692,
1995-12,23122,
1996-01,21573,
1996-02,21836,
1996-03,20210,
1996-04,18537,
1996-05,20931,
1996-06,19254,
1996-07,18267,
1996-08,19635,
1996-09,18271,
1996-10,16303,
1996-11,16604,
1996-12,18551,
1997-01,18338,
1997-02,18206,
1997-03,17591,
