"",BBFB1.Q.N.DE.W00200.S1.S1.T.A.FA.O.F.L._T._X.N,BBFB1.Q.N.DE.W00200.S1.S1.T.A.FA.O.F.L._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Long-term loans / Industrial Countries (acc. to Supplement 3),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:49:20,
1991-01,2490.377,
1991-04,3600.587,
1991-07,1280.045,
1991-10,-517.444,
1992-01,-2164.251,
1992-04,-156.915,
1992-07,1700.556,
1992-10,2084.043,
1993-01,1478.240,
1993-04,2660.962,
1993-07,1770.755,
1993-10,4012.095,
1994-01,649.916,
1994-04,2336.406,
1994-07,1193.711,
1994-10,1959.958,
1995-01,21.591,
1995-04,2389.475,
1995-07,3828.015,
1995-10,3115.100,
1996-01,2991.370,
1996-04,141.479,
1996-07,-2047.746,
1996-10,5059.078,
1997-01,2369.743,
1997-04,3713.430,
1997-07,5795.012,
1997-10,11359.262,
1998-01,6759.485,
1998-04,4224.839,
1998-07,7027.812,
1998-10,4686.225,
1999-01,7378.946,
1999-04,13624.667,
1999-07,8159.293,
1999-10,9237.731,
2000-01,8239.433,
2000-04,6366.677,
2000-07,10856.093,
2000-10,13617.636,
2001-01,8062.425,
2001-04,12471.137,
2001-07,10887.907,
2001-10,16060.192,
2002-01,11005.078,
2002-04,7532.882,
2002-07,4886.278,
2002-10,11746.249,
2003-01,11226.901,
2003-04,8919.857,
2003-07,9606.033,
2003-10,4082.922,
2004-01,-3530.105,
2004-04,-4852.898,
2004-07,-1032.583,
2004-10,649.607,
2005-01,10319.623,
2005-04,20641.603,
2005-07,20872.571,
2005-10,15555.408,
2006-01,10143.518,
2006-04,15113.840,
2006-07,12264.676,
2006-10,22960.442,
2007-01,9870.877,
2007-04,19777.002,
2007-07,23382.205,
2007-10,12674.590,
2008-01,22288.504,
2008-04,44488.905,
2008-07,46470.576,
2008-10,19703.585,
2009-01,1906.301,
2009-04,18838.285,
2009-07,-13387.842,
2009-10,-21980.612,
2010-01,-11736.053,
2010-04,466.346,
2010-07,-30887.950,
2010-10,8965.184,
2011-01,-1843.103,
2011-04,-2060.848,
2011-07,5122.590,
2011-10,14188.173,
2012-01,-6623.080,
2012-04,4409.921,
2012-07,-7869.691,
2012-10,-1095.854,
2013-01,-3543.888,
2013-04,-333.684,
2013-07,-8645.465,
2013-10,-6719.161,
2014-01,-376.942,Provisional value
2014-04,-6890.792,Provisional value
2014-07,1686.894,Provisional value
2014-10,-2051.266,Provisional value
