"",BBK01.OEAA29R,BBK01.OEAA29R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:19:43,
2002-01,3.674,
2002-04,3.685,
2002-07,3.679,
2002-10,3.683,
2003-01,3.615,
2003-04,3.609,
2003-07,3.581,
2003-10,3.593,
2004-01,3.512,
2004-04,3.494,
2004-07,3.498,
2004-10,3.460,
2005-01,3.436,
2005-04,3.415,
2005-07,3.364,
2005-10,3.349,
2006-01,3.315,
2006-04,3.294,
2006-07,3.284,
2006-10,3.281,
2007-01,3.248,
2007-04,3.216,
2007-07,3.175,
2007-10,3.204,
2008-01,3.183,
2008-04,3.183,
2008-07,3.167,
2008-10,3.161,
2009-01,3.171,
2009-04,3.284,
2009-07,3.268,
2009-10,3.299,
2010-01,3.255,
2010-04,3.267,
2010-07,3.279,
2010-10,3.263,
2011-01,3.265,
2011-04,3.288,
2011-07,3.299,
2011-10,3.337,
2012-01,3.342,
2012-04,3.750,
2012-07,3.756,
2012-10,3.773,
2013-01,3.773,
2013-04,3.804,
2013-07,3.829,
2013-10,3.849,
2014-01,3.878,
2014-04,3.908,
2014-07,3.923,
