"",BBDA1.M.DE.N.IM.S.A.AT.A.V.ABA.A,BBDA1.M.DE.N.IM.S.A.AT.A.V.ABA.A_FLAGS
"","Imports / At current prices, flows / Aggregate / all goods / Austria / Unadjusted figure",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:39:16,
1990-07,1091547,
1990-08,913048,
1990-09,1061346,
1990-10,1197200,
1990-11,1224379,
1990-12,990352,
1991-01,1125574,
1991-02,1059857,
1991-03,1201174,
1991-04,1195113,
1991-05,1108625,
1991-06,1146302,
1991-07,1293639,
1991-08,941872,
1991-09,1123898,
1991-10,1262819,
1991-11,1216014,
1991-12,1082912,
1992-01,1105765,
1992-02,1170044,
1992-03,1327691,
1992-04,1258838,
1992-05,1186240,
1992-06,1056065,
1992-07,1461236,
1992-08,904572,
1992-09,1239429,
1992-10,1255927,
1992-11,1240256,
1992-12,1114771,
1993-01,907266,
1993-02,1125124,
1993-03,1190109,
1993-04,1177474,
1993-05,1047276,
1993-06,1124025,
1993-07,1108484,
1993-08,1057107,
1993-09,1155768,
1993-10,1166598,
1993-11,1298220,
1993-12,1143128,
1994-01,971030,
1994-02,1148998,
1994-03,1359646,
1994-04,1201631,
1994-05,1252731,
1994-06,1318855,
1994-07,1288139,
1994-08,1046962,
1994-09,1333157,
1994-10,1349782,
1994-11,1408855,
1994-12,1350929,
1995-01,908761,
1995-02,1056377,
1995-03,1165215,
1995-04,1088854,
1995-05,1120769,
1995-06,1305675,
1995-07,1091806,
1995-08,1031340,
1995-09,1169409,
1995-10,1133471,
1995-11,1060059,
1995-12,1179425,
1996-01,1190596,
1996-02,1048746,
1996-03,1084551,
1996-04,1210948,
1996-05,1082292,
1996-06,1166396,
1996-07,1209036,
1996-08,997648,
1996-09,1249497,
1996-10,1234517,
1996-11,1247715,
1996-12,1223719,
1997-01,1162449,
1997-02,1174722,
1997-03,1225717,
1997-04,1174250,
1997-05,1204317,
1997-06,1305787,
1997-07,1335552,
1997-08,1119528,
1997-09,1209005,
1997-10,1319400,
1997-11,1390382,
1997-12,1248270,
1998-01,1334688,
1998-02,1369113,
1998-03,1377266,
1998-04,1507006,
1998-05,1301706,
1998-06,1485588,
1998-07,1517113,
1998-08,1209211,
1998-09,1295361,
1998-10,1593437,
1998-11,1476752,
1998-12,1445046,
1999-01,1396677,
1999-02,1418924,
1999-03,1553763,
1999-04,1495161,
1999-05,1512934,
1999-06,1612596,
1999-07,1486989,
1999-08,1438753,
1999-09,1491589,
1999-10,1597357,
1999-11,1724003,
1999-12,1559303,
2000-01,1539391,
2000-02,1586409,
2000-03,1781624,
2000-04,1595955,
2000-05,1756260,
2000-06,1674445,
2000-07,1638373,
2000-08,1558386,
2000-09,1687949,
2000-10,1905561,
2000-11,1963707,
2000-12,1809391,
2001-01,1550451,
2001-02,1695054,
2001-03,1762106,
2001-04,1848572,
2001-05,1780497,
2001-06,1660235,
2001-07,1765892,
2001-08,1567970,
2001-09,1775815,
2001-10,1878261,
2001-11,1768837,
2001-12,1609917,
2002-01,1512568,
2002-02,1593758,
2002-03,1729694,
2002-04,1805960,
2002-05,1661374,
2002-06,1894621,
2002-07,1845612,
2002-08,1553300,
2002-09,1721131,
2002-10,1944764,
2002-11,1982835,
2002-12,1800976,
2003-01,1628196,
2003-02,1685554,
2003-03,1976280,
2003-04,1790864,
2003-05,1754265,
2003-06,1697220,
2003-07,1865034,
2003-08,1673436,
2003-09,1795406,
2003-10,1798786,
2003-11,2037458,
2003-12,1750072,
2004-01,1638291,
2004-02,1856635,
2004-03,1998084,
2004-04,2057507,
2004-05,1895995,
2004-06,1896637,
2004-07,2241443,
2004-08,1950388,
2004-09,2022411,
2004-10,2128594,
2004-11,2365043,
2004-12,1968575,
2005-01,1846128,
2005-02,2012166,
2005-03,2062858,
2005-04,2190102,
2005-05,2146320,
2005-06,2223069,
2005-07,2225715,
2005-08,2019796,
2005-09,2258300,
2005-10,2359725,
2005-11,2489545,
2005-12,2214652,
2006-01,2162046,
2006-02,2175777,
2006-03,2505511,
2006-04,2435008,
2006-05,2581801,
2006-06,2520603,
2006-07,2561386,
2006-08,2268064,
2006-09,2674657,
2006-10,2807913,
2006-11,2814233,
2006-12,2794298,
2007-01,2406085,
2007-02,2521332,
2007-03,2813026,
2007-04,2682657,
2007-05,2608445,
2007-06,2766232,
2007-07,2737313,
2007-08,2447439,
2007-09,2678798,
2007-10,2967105,
2007-11,2912312,
2007-12,2550503,
2008-01,2635535,
2008-02,2735361,
2008-03,2796164,
2008-04,2941296,
2008-05,2795649,
2008-06,2992149,
2008-07,2890435,
2008-08,2521522,
2008-09,3029093,
2008-10,2995938,
2008-11,2660768,
2008-12,2186155,
2009-01,2208353,
2009-02,2152151,
2009-03,2327106,
2009-04,2255392,
2009-05,2221532,
2009-06,2172714,
2009-07,2466546,
2009-08,1932752,
2009-09,2528727,
2009-10,2618462,
2009-11,2467257,
2009-12,2214152,
2010-01,2101866,
2010-02,2369867,
2010-03,2862070,
2010-04,2595132,
2010-05,2753311,
2010-06,2932849,
2010-07,2858822,
2010-08,2581388,
2010-09,3012406,
2010-10,3059641,
2010-11,2997368,
2010-12,2888029,
2011-01,2611090,
2011-02,2904965,
2011-03,3419641,
2011-04,3082535,
2011-05,3251621,
2011-06,3148896,
2011-07,3128959,
2011-08,2869646,
2011-09,3294686,
2011-10,3123397,
2011-11,3286097,
2011-12,2906826,
2012-01,2745534,
2012-02,3095986,
2012-03,3280333,
2012-04,3017100,
2012-05,3112383,
2012-06,3130003,
2012-07,3121690,
2012-08,2833275,
2012-09,3088988,
2012-10,3358594,
2012-11,3033100,
2012-12,2602459,
2013-01,2855271,
2013-02,2993425,
2013-03,3222291,
2013-04,3216704,
2013-05,2961108,
2013-06,3128312,
2013-07,3179184,
2013-08,2866029,
2013-09,3056709,
2013-10,3335353,
2013-11,3098069,
