"",BBSF2.M.1.S.I1250.AKT01.I.F.NAV.DE.00000.000000.Z01.00,BBSF2.M.1.S.I1250.AKT01.I.F.NAV.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Equity funds / Net asset value / Insurance corporations / Distribution and cumulative funds,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:49:04,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,3742,
1993-05,3809,
1993-06,3903,
1993-07,4049,
1993-08,4212,
1993-09,4181,
1993-10,4443,
1993-11,4462,
1993-12,4718,
1994-01,4883,
1994-02,4825,
1994-03,4891,
1994-04,5165,
1994-05,5021,
1994-06,4867,
1994-07,5071,
1994-08,5222,
1994-09,4999,
1994-10,5107,
1994-11,5064,
1994-12,5168,
1995-01,5060,
1995-02,5217,
1995-03,4964,
1995-04,5232,
1995-05,5444,
1995-06,5467,
1995-07,5688,
1995-08,5752,
1995-09,5648,
1995-10,5585,
1995-11,5733,
1995-12,5868,
1996-01,6486,
1996-02,6529,
1996-03,6634,
1996-04,6821,
1996-05,7074,
1996-06,7163,
1996-07,7071,
1996-08,7273,
1996-09,7583,
1996-10,7669,
1996-11,8210,
1996-12,9068,
1997-01,9967,
1997-02,10729,
1997-03,11362,
1997-04,11497,
1997-05,12138,
1997-06,13294,
1997-07,14934,
1997-08,13849,
1997-09,14611,
1997-10,14065,
1997-11,14739,
1997-12,15297,
1998-01,16217,
1998-02,16945,
1998-03,18636,
1998-04,18511,
1998-05,19697,
1998-06,20427,
1998-07,20921,
1998-08,18523,
1998-09,17280,
1998-10,17915,
1998-11,19546,
1998-12,19806,
1999-01,21345,
1999-02,21297,
1999-03,21823,
1999-04,24222,
1999-05,23705,
1999-06,24926,
1999-07,24239,
1999-08,25315,
1999-09,24757,
1999-10,26417,
1999-11,28858,
1999-12,30964,
2000-01,30868,
2000-02,34055,
2000-03,34619,
2000-04,36296,
2000-05,35930,
2000-06,36524,
2000-07,37453,
2000-08,38382,
2000-09,37304,
2000-10,36798,
2000-11,34926,
2000-12,36389,
2001-01,36766,
2001-02,33955,
2001-03,33283,
2001-04,36169,
2001-05,36373,
2001-06,35695,
2001-07,35195,
2001-08,33697,
2001-09,30512,
2001-10,31952,
2001-11,33437,
2001-12,34545,
2002-01,35174,
2002-02,34794,
2002-03,36580,
2002-04,37156,
2002-05,36272,
2002-06,32941,
2002-07,30658,
2002-08,31243,
2002-09,28461,
2002-10,30737,
2002-11,32051,
2002-12,29187,
2003-01,28231,
2003-02,27104,
2003-03,26789,
2003-04,28108,
2003-05,28721,
2003-06,29161,
2003-07,29762,
2003-08,30208,
2003-09,30043,
2003-10,31094,
2003-11,33215,
2003-12,34498,
2004-01,34995,
2004-02,35198,
2004-03,34402,
2004-04,33050,
2004-05,31871,
2004-06,32289,
2004-07,31440,
2004-08,31799,
2004-09,32148,
2004-10,31485,
2004-11,30760,
2004-12,30697,
2005-01,31367,
2005-02,31636,
2005-03,31536,
2005-04,30896,
2005-05,31528,
2005-06,32679,
2005-07,33903,
2005-08,33456,
2005-09,34684,
2005-10,26285,
2005-11,27776,
2005-12,27982,
2006-01,29437,
2006-02,30043,
2006-03,29494,
2006-04,29583,
2006-05,28475,
2006-06,28691,
2006-07,30295,
2006-08,31357,
2006-09,31853,
2006-10,32448,
2006-11,32525,
2006-12,31798,
2007-01,32311,
2007-02,32273,
2007-03,32769,
2007-04,32363,
2007-05,32814,
2007-06,31478,
2007-07,32255,
2007-08,32695,
2007-09,33076,
2007-10,33815,
2007-11,32794,
2007-12,32472,
2008-01,30042,
2008-02,29909,
2008-03,30930,
2008-04,31695,
2008-05,32018,
2008-06,31511,
2008-07,31217,
2008-08,31329,
2008-09,29817,
2008-10,29035,
2008-11,28906,
2008-12,28066,
2009-01,27787,
2009-02,27473,
2009-03,26575,
2009-04,17149,
2009-05,23041,
2009-06,22220,
2009-07,22560,
2009-08,22489,
2009-09,20121,
2009-10,19548,
2009-11,19455,
2009-12,19861,
2010-01,18740,
2010-02,18803,
2010-03,19559,
2010-04,20087,
2010-05,19536,
2010-06,19610,
2010-07,19897,
2010-08,19947,
2010-09,18893,
2010-10,19050,
2010-11,19059,
2010-12,19183,
2011-01,19037,
2011-02,19459,
2011-03,19343,
2011-04,19797,
2011-05,20293,
2011-06,19982,
2011-07,20100,
2011-08,19156,
2011-09,18365,
2011-10,19004,
2011-11,18500,
2011-12,18895,
2012-01,18666,
2012-02,18889,
2012-03,19068,
2012-04,19023,
2012-05,19503,
2012-06,19631,
2012-07,19696,
2012-08,19319,
2012-09,19589,
2012-10,19652,
2012-11,20100,
2012-12,19994,
2013-01,20316,
2013-02,20526,
2013-03,21647,
2013-04,22338,
2013-05,22796,
2013-06,22286,
2013-07,22831,
2013-08,22928,
2013-09,23828,
2013-10,24876,
2013-11,25968,
2013-12,25962,
2014-01,25652,
2014-02,26312,
2014-03,26278,
2014-04,31412,
2014-05,32191,
2014-06,32206,
2014-07,33169,
2014-08,34103,
2014-09,34295,
2014-10,34995,
2014-11,35860,
