"",BBK01.OEXL09P,BBK01.OEXL09P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:43,
2002-01,0.078,
2002-04,0.069,
2002-07,0.073,
2002-10,0.070,
2003-01,0.064,
2003-04,0.060,
2003-07,0.057,
2003-10,0.055,
2004-01,0.054,
2004-04,0.050,
2004-07,0.045,
2004-10,0.047,
2005-01,0.054,
2005-04,0.053,
2005-07,0.053,
2005-10,0.053,
2006-01,0.049,
2006-04,0.049,
2006-07,0.043,
2006-10,0.046,
2007-01,0.079,
2007-04,0.099,
2007-07,0.114,
2007-10,0.143,
2008-01,0.159,
2008-04,0.159,
2008-07,0.165,
2008-10,0.250,
2009-01,0.245,
2009-04,0.235,
2009-07,0.231,
2009-10,0.174,
2010-01,0.131,
2010-04,0.136,
2010-07,0.128,
2010-10,0.159,
2011-01,0.191,
2011-04,0.201,
2011-07,0.204,
2011-10,0.193,
2012-01,0.171,
2012-04,0.165,
2012-07,0.151,
2012-10,0.124,
2013-01,0.094,
2013-04,0.076,
2013-07,0.069,
2013-10,0.062,
2014-01,0.057,
2014-04,0.054,
2014-07,0.088,
