"",BBFB1.Q.N.DE.A5.S1.S1.T.A.FA.F.F7.T._T.T.N,BBFB1.Q.N.DE.A5.S1.S1.T.A.FA.F.F7.T._T.T.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Financial derivates and employee stock options / Central America and Caribbean countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:45:52,
1991-01,-2.561,
1991-04,-1.750,
1991-07,-0.213,
1991-10,1.097,
1992-01,-1.407,
1992-04,7.116,
1992-07,10.130,
1992-10,-1.439,
1993-01,-5.755,
1993-04,6.183,
1993-07,1.327,
1993-10,15.833,
1994-01,102.016,
1994-04,-38.968,
1994-07,9.576,
1994-10,-12.927,
1995-01,7.236,
1995-04,-23.487,
1995-07,33.497,
1995-10,-8.178,
1996-01,0.674,
1996-04,-61.123,
1996-07,38.283,
1996-10,53.163,
1997-01,26.333,
1997-04,-52.566,
1997-07,-82.304,
1997-10,98.202,
1998-01,87.249,
1998-04,-51.721,
1998-07,18.907,
1998-10,95.167,
1999-01,122.449,
1999-04,-16.976,
1999-07,-2580.053,
1999-10,304.029,
2000-01,-1.342,
2000-04,-129.655,
2000-07,2.102,
2000-10,-32.541,
2001-01,225.131,
2001-04,126.505,
2001-07,39.488,
2001-10,-1966.880,
2002-01,72.990,
2002-04,-96.809,
2002-07,344.233,
2002-10,33.668,
2003-01,-156.828,
2003-04,-287.598,
2003-07,-274.395,
2003-10,-214.858,
2004-01,50.295,
2004-04,139.370,
2004-07,-2117.734,
2004-10,-139.495,
2005-01,369.585,
2005-04,-85.041,
2005-07,-242.782,
2005-10,233.958,
2006-01,6.717,
2006-04,168.594,
2006-07,-174.611,
2006-10,-43.473,
2007-01,8.665,
2007-04,338.488,
2007-07,-571.003,
2007-10,254.816,
2008-01,-215.209,
2008-04,-289.076,
2008-07,-368.861,
2008-10,-210.359,
2009-01,298.666,
2009-04,303.436,
2009-07,-102.797,
2009-10,55.033,
2010-01,9.168,
2010-04,292.552,
2010-07,111.331,
2010-10,-21.490,
2011-01,-2.573,
2011-04,-483.186,
2011-07,96.298,
2011-10,34.418,
2012-01,89.164,
2012-04,65.280,
2012-07,139.192,
2012-10,56.763,
2013-01,87.534,
2013-04,92.834,
2013-07,185.218,
2013-10,-37.374,
2014-01,-45.781,Provisional value
2014-04,90.203,Provisional value
2014-07,40.363,Provisional value
2014-10,-180.519,Provisional value
