"",BBK01.OEAG03L,BBK01.OEAG03L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:11:22,
2002-01,96.005,
2002-04,91.706,
2002-07,90.946,
2002-10,94.981,
2003-01,90.977,
2003-04,88.197,
2003-07,85.893,
2003-10,84.519,
2004-01,83.851,
2004-04,79.275,
2004-07,78.335,
2004-10,77.159,
2005-01,74.796,
2005-04,72.422,
2005-07,69.627,
2005-10,67.226,
2006-01,61.799,
2006-04,57.987,
2006-07,55.961,
2006-10,55.342,
2007-01,51.313,
2007-04,46.760,
2007-07,44.901,
2007-10,45.376,
2008-01,41.433,
2008-04,41.056,
2008-07,52.582,
2008-10,50.455,
2009-01,46.308,
2009-04,43.086,
2009-07,36.149,
2009-10,32.474,
2010-01,30.404,
2010-04,29.294,
2010-07,28.582,
2010-10,28.167,
2011-01,27.400,
2011-04,24.193,
2011-07,22.780,
2011-10,21.253,
2012-01,20.235,
2012-04,20.773,
2012-07,18.778,
2012-10,19.016,
2013-01,18.415,
2013-04,19.884,
2013-07,21.026,
2013-10,20.976,
2014-01,20.902,
2014-04,19.937,
2014-07,18.359,
