"",BBK01.RJ2061,BBK01.RJ2061_FLAGS
"",,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-04-30 10:25:19,
1989,-,Nothing exists
1990,.,No value available
1991,-,Nothing exists
1992,-,Nothing exists
1993,.,No value available
1994,.,No value available
1995,.,No value available
1996,.,No value available
1997,.,No value available
1998,9,
1999,11,
2000,28,
2001,9,
2002,20,
2003,.,No value available
2004,15,
2005,19,
2006,16,
2007,17,
2008,21,
2009,9,
2010,12,
2011,29,
2012,29,
