"",BBK01.OEAD39M,BBK01.OEAD39M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:22,
2002-01,0.165,
2002-04,0.164,
2002-07,0.159,
2002-10,0.154,
2003-01,0.152,
2003-04,0.148,
2003-07,0.172,
2003-10,0.183,
2004-01,0.180,
2004-04,0.156,
2004-07,0.152,
2004-10,0.141,
2005-01,0.137,
2005-04,0.130,
2005-07,0.126,
2005-10,0.125,
2006-01,0.122,
2006-04,0.114,
2006-07,0.115,
2006-10,0.109,
2007-01,0.108,
2007-04,0.106,
2007-07,0.105,
2007-10,0.107,
2008-01,0.105,
2008-04,0.109,
2008-07,0.109,
2008-10,0.105,
2009-01,0.117,
2009-04,0.122,
2009-07,0.112,
2009-10,0.112,
2010-01,0.124,
2010-04,0.119,
2010-07,0.120,
2010-10,0.109,
2011-01,0.107,
2011-04,0.110,
2011-07,0.107,
2011-10,0.104,
2012-01,0.112,
2012-04,0.113,
2012-07,0.117,
2012-10,0.114,
2013-01,0.104,
2013-04,0.102,
2013-07,0.101,
2013-10,0.101,
2014-01,0.099,
2014-04,0.100,
2014-07,0.098,
