"",BBSF2.M.1.S.00000.TOT01.I.F.SVG.US.00122.F03300.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.SVG.US.00122.F03300.Z01.00_FLAGS
"",Special investors funds / Funds total / Debt securities total / United States / Monetary financial institutes (MFIs),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:47:04,
2009-09,9563,
2009-10,8565,
2009-11,8591,
2009-12,8608,
2010-01,8796,
2010-02,8683,
2010-03,8759,
2010-04,8770,
2010-05,8108,
2010-06,8323,
2010-07,7985,
2010-08,8284,
2010-09,8162,
2010-10,8276,
2010-11,8285,
2010-12,8313,
2011-01,8418,
2011-02,8619,
2011-03,8541,
2011-04,8464,
2011-05,8795,
2011-06,8751,
2011-07,8651,
2011-08,8003,
2011-09,7269,
2011-10,6054,
2011-11,5575,
2011-12,5501,
2012-01,5595,
2012-02,6942,
2012-03,6966,
2012-04,5601,
2012-05,5592,
2012-06,5700,
2012-07,5770,
2012-08,5421,
2012-09,5411,
2012-10,5281,
2012-11,5353,
2012-12,5422,
2013-01,5484,
2013-02,5536,
2013-03,5431,
2013-04,7022,
2013-05,6716,
2013-06,6534,
2013-07,6788,
2013-08,6904,
2013-09,6897,
2013-10,7050,
2013-11,7208,
2013-12,7265,
2014-01,7247,
2014-02,7294,
2014-03,7476,
2014-04,7433,
2014-05,7813,
2014-06,8066,
2014-07,8140,
2014-08,8354,
2014-09,8741,
2014-10,9072,
2014-11,9079,
