"",BBEX3.M.PGK.USD.CM.AA.A01,BBEX3.M.PGK.USD.CM.AA.A01_FLAGS
1984-03,1.1750,
1984-04,1.1618,
1984-05,1.1474,
1984-06,1.1264,
1984-07,1.0891,
1984-08,1.0904,
1984-09,1.0735,
1984-10,1.0828,
1984-11,1.0868,
1984-12,1.0639,
1985-01,1.0518,
1985-02,0.9851,
1985-03,0.9932,
1985-04,.,No value available
1985-05,0.9690,
1985-06,0.9798,
1985-07,1.0331,
1985-08,1.0205,
1985-09,1.0438,
1985-10,1.0410,
1985-11,1.0006,
1985-12,0.9917,
1986-01,1.0221,
1986-02,1.0302,
1986-03,1.0397,
1986-04,1.0757,
1986-05,1.0542,
1986-06,1.0421,
1986-07,1.0204,
1986-08,1.0182,
1986-09,1.0311,
1986-10,1.0245,
1986-11,1.0294,
1986-12,1.0444,
1987-01,1.0627,
1987-02,1.0695,
1987-03,1.1027,
1987-04,1.1169,
1987-05,1.1137,
1987-06,1.1143,
1987-07,1.0916,
1987-08,1.1178,
1987-09,1.1194,
1987-10,1.0989,
1987-11,1.1380,
1987-12,1.1424,
1988-01,1.1147,
1988-02,1.1170,
1988-03,1.1367,
1988-04,1.1492,
1988-05,1.1790,
1988-06,1.1525,
1988-07,1.1619,
1988-08,1.1540,
1988-09,1.1399,
1988-10,1.1850,
1988-11,.,No value available
1988-12,1.2140,
1989-01,1.2232,
1989-02,1.1872,
1989-03,1.1916,
1989-04,1.1800,
1989-05,1.1491,
1989-06,1.1461,
1989-07,1.1506,
1989-08,1.1531,
1989-09,1.1605,
1989-10,1.1629,
1989-11,1.1599,
1989-12,1.1673,
1990-01,1.0408,comment
1990-02,1.0353,
1990-03,1.0262,
1990-04,1.0231,
1990-05,1.0383,
1990-06,1.0440,
1990-07,1.0515,
1990-08,1.0664,
1990-09,1.0741,
1990-10,1.0669,
1990-11,1.0578,
1990-12,1.0551,
1991-01,1.0642,
1991-02,1.0626,
1991-03,1.0487,
1991-04,1.0526,
1991-05,1.0450,
1991-06,1.0454,
1991-07,1.0504,
1991-08,1.0531,
1991-09,1.0642,
1991-10,1.0584,
1991-11,1.0604,
1991-12,1.0538,
1992-01,1.0476,
1992-02,1.0466,
1992-03,1.0492,
1992-04,1.0461,
1992-05,1.0494,
1992-06,1.0497,
1992-07,1.0471,
1992-08,1.0393,
1992-09,1.0383,
1992-10,1.0223,
1992-11,1.0170,
1992-12,1.0167,
1993-01,1.0136,
1993-02,1.0245,
1993-03,1.0337,
1993-04,1.0400,
1993-05,1.0335,
1993-06,1.0247,
1993-07,1.0305,
1993-08,1.0281,
1993-09,1.0155,
1993-10,1.0221,
1993-11,1.0164,
1993-12,1.0230,
1994-01,1.0409,
1994-02,1.0501,
1994-03,1.0431,
1994-04,1.0508,
1994-05,1.0579,
1994-06,1.0619,
1994-07,1.0649,
1994-08,1.0603,
1994-09,0.9244,comment
1994-10,0.8830,
1994-11,0.8790,
1994-12,0.8525,
1995-01,0.8640,
1995-02,0.8510,
1995-03,0.8305,
1995-04,0.8000,
1995-05,0.7835,
1995-06,0.7590,
1995-07,0.7380,
1995-08,0.7275,
1995-09,0.7560,
1995-10,0.7580,
1995-11,0.7620,
1995-12,0.7505,
1996-01,0.7490,
1996-02,0.7415,
1996-03,0.7630,
1996-04,0.7740,
1996-05,0.7780,
1996-06,0.7815,
1996-07,0.7830,
1996-08,0.7650,
1996-09,0.7530,
1996-10,0.7540,
1996-11,0.7475,
1996-12,0.7440,
1997-01,0.7310,
1997-02,0.7240,
1997-03,0.7235,
1997-04,0.7230,
1997-05,0.7210,
1997-06,0.7180,
1997-07,0.7150,
1997-08,0.7055,
1997-09,0.6900,
1997-10,0.6620,
1997-11,0.5990,
1997-12,0.5715,
1998-01,0.5470,
1998-02,0.5420,
1998-03,0.4990,
1998-04,0.4905,
1998-05,0.4850,
1998-06,0.4690,
1998-07,0.4000,
1998-08,0.4180,
1998-09,0.4380,
1998-10,0.4650,
1998-11,0.4660,
1998-12,0.4810,
1999-01,0.4725,
1999-02,0.4495,
1999-03,0.4230,
1999-04,0.4200,
1999-05,0.3645,
1999-06,0.3810,
1999-07,0.3910,
1999-08,0.3485,
1999-09,0.3475,
1999-10,0.3765,
1999-11,0.3620,
1999-12,0.3835,
2000-01,0.3315,
2000-02,0.3410,
2000-03,0.3980,
2000-04,0.4040,
2000-05,0.4320,
2000-06,0.4305,
2000-07,0.3920,
2000-08,0.3950,
2000-09,0.3800,
2000-10,0.3500,
2000-11,0.3570,
2000-12,0.3390,
2001-01,0.3300,
2001-02,0.3175,
2001-03,0.3160,
2001-04,0.3520,
2001-05,0.3120,
2001-06,0.3180,
2001-07,0.3205,
2001-08,0.3142,
2001-09,0.3034,
2001-10,0.3033,
2001-11,0.2827,
2001-12,0.2818,
2002-01,0.2931,
2002-02,0.2926,
2002-03,0.2859,
2002-04,0.2885,
2002-05,0.2873,
2002-06,0.2698,
2002-07,0.2678,
2002-08,0.2708,
2002-09,0.2673,
2002-10,0.2417,
2002-11,0.2603,
2002-12,0.2713,
2003-01,0.2755,
2003-02,0.2907,
2003-03,0.2933,
2003-04,0.2833,
2003-05,0.2980,
2003-06,0.3064,
2003-07,0.3101,
2003-08,0.2965,
2003-09,0.3228,
2003-10,0.3180,
2003-11,0.3238,
2003-12,0.3254,
2004-01,0.3270,
2004-02,0.3327,
2004-03,0.3333,
2004-04,0.3359,
2004-05,0.3359,
2004-06,0.3384,
2004-07,0.3380,
2004-08,0.3411,
2004-09,0.3396,
2004-10,0.3406,
2004-11,0.3449,
2004-12,0.3460,
2005-01,0.3482,
2005-02,0.3487,
2005-03,0.3428,
2005-04,0.3439,
2005-05,0.3428,
2005-06,0.3428,
2005-07,0.3439,
2005-08,0.3465,
2005-09,0.3482,
2005-10,0.3454,
2005-11,0.3444,
2005-12,0.3439,
2006-01,0.3433,
2006-02,0.3480,
2006-03,0.3497,
2006-04,0.3502,
2006-05,0.3507,
2006-06,0.3534,
2006-07,0.3565,
2006-08,0.3613,
2006-09,0.3603,
2006-10,0.3581,
2006-11,0.3586,
2006-12,0.3586,
2007-01,0.3560,
2007-02,0.3555,
2007-03,0.3544,
2007-04,0.3555,
2007-05,0.3565,
2007-06,0.3586,
2007-07,0.3661,
2007-08,0.3661,
2007-09,0.3661,
2007-10,0.3745,
2007-11,0.3798,
2007-12,0.3777,
2008-01,0.3782,
2008-02,0.3788,
2008-03,0.3820,
2008-04,0.3900,
2008-05,0.3925,
2008-06,0.4000,
2008-07,0.4065,
2008-08,0.4105,
2008-09,0.4110,
2008-10,0.4095,
2008-11,0.4080,
2008-12,0.4060,
2009-01,0.3910,
2009-02,0.3765,
2009-03,0.3505,
2009-04,0.3690,
2009-05,0.3855,
2009-06,0.3990,
2009-07,0.3940,
2009-08,0.3875,
2009-09,0.3875,
2009-10,0.3980,
2009-11,0.3995,
2009-12,0.3925,
2010-01,0.3898,
2010-02,0.3835,
2010-03,0.3875,
2010-04,0.3805,
2010-05,0.3585,
2010-06,0.3845,
2010-07,0.3895,
2010-08,0.3885,
2010-09,0.3965,
2010-10,0.4010,
2010-11,0.3990,
2010-12,0.4030,
2011-01,0.4025,
2011-02,0.4100,
2011-03,0.4135,
2011-04,0.4295,
2011-05,0.4440,
2011-06,0.4565,
2011-07,0.4655,
2011-08,0.4670,
2011-09,0.4700,
2011-10,0.4785,
2011-11,0.4845,
2011-12,0.4900,
2012-01,0.4975,
2012-02,0.5025,
2012-03,0.5055,
2012-04,0.5080,
2012-05,0.5075,
2012-06,0.5075,
2012-07,0.5050,
2012-08,0.5030,
2012-09,0.5045,
2012-10,0.5030,
2012-11,0.5000,
2012-12,0.4985,
2013-01,0.4970,
2013-02,0.4945,
2013-03,0.4892,
2013-04,0.4877,
2013-05,0.4746,
2013-06,0.4686,
2013-07,0.4596,
2013-08,0.4501,
2013-09,0.4218,
2013-10,0.4183,
2013-11,0.4200,
2013-12,0.4277,
2014-01,0.4213,
2014-02,0.4118,
2014-03,0.3800,
2014-04,0.3804,
2014-05,0.3701,
2014-06,0.4195,
2014-07,0.4160,
2014-08,0.4135,
2014-09,0.4105,
2014-10,0.4040,
2014-11,0.3995,
2014-12,0.3930,
2015-01,0.3890,
2015-02,0.3860,
"","General: Until 18 April 1975, the Australian dollar (AUD) was the sole legal tender. On 19 April 1975, the kina (PGK) was introduced as the country's own currency at a rate of PGK 1 = AUD 1; the Australian dollar remained legal tender alongside the kina until 31 December 1975. Thereafter, the exchange rates for the kina and the Australian dollar were as follows: until 24 July 1976: PGK 1 = AUD 1; from 25 July 1976: PGK 1 = AUD 1.05; from 29 November 1976: PGK 1 = AUD 1.1812. On 17 December 1976, the kina ceased to be pegged to the Australian dollar.",
"","Source: Since November 2013: Bank South Pacific, Port Moresby April 2008 - October 2013: ANZ Banking Group (PNG) Limited, Port Moresby  1983 - March 2008: Westpac Bank (PNG) Limited, Port Moresby (October 2007 ANZ Banking Group)  1976 - 1982: Bank of Papua New Guinea, Port Moresby",
"",Comment on 1976-01: Exchange rate as of 12 January 1976.,
"","Comment on 1983-03: On 8 March 1983, following the depreciation of the Australian dollar, the kina was devalued by 5.5% against the trade-weighted currency basket.",
"","Comment on 1990-01: On 9 January 1990, the kina was devalued. We recorded the following exchange rates (middle).   08.01.1990: PGK 1 = USD 1.1581  09.01.1990: PGK 1 = USD 1.0443  Calculated devaluation: 9.8%.",
"","Comment on 1994-09: On 12 September 1994, the exchange rates were adjusted more sharply. We recorded the following exchange rates (buying/selling rate).  9 September 1994: PGK 1 = USD 1.0574 / 1.0494  12 September 1994: PGK 1 = USD 0.9303 / 0.9223  Calculated devaluation: 12.1% (middle rate).",
