"",BBK01.OEYB03Q,BBK01.OEYB03Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:05,
2002-01,7.668,
2002-04,7.587,
2002-07,7.664,
2002-10,7.419,
2003-01,7.154,
2003-04,7.131,
2003-07,6.937,
2003-10,7.052,
2004-01,6.180,
2004-04,4.131,
2004-07,3.812,
2004-10,3.706,
2005-01,3.464,
2005-04,3.452,
2005-07,3.439,
2005-10,3.463,
2006-01,3.381,
2006-04,3.479,
2006-07,3.495,
2006-10,5.034,
2007-01,5.387,
2007-04,5.547,
2007-07,6.141,
2007-10,5.343,
2008-01,4.857,
2008-04,6.614,
2008-07,6.673,
2008-10,6.730,
2009-01,6.519,
2009-04,7.247,
2009-07,6.607,
2009-10,8.164,
2010-01,9.095,
2010-04,8.397,
2010-07,5.853,
2010-10,5.413,
2011-01,5.312,
2011-04,4.898,
2011-07,2.519,
2011-10,2.555,
2012-01,2.526,
2012-04,2.550,
2012-07,2.249,
2012-10,3.724,
2013-01,3.474,
2013-04,2.954,
2013-07,2.787,
2013-10,3.903,
2014-01,3.452,
2014-04,3.638,
2014-07,3.675,
