"",BBK01.OEAH23Q,BBK01.OEAH23Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:29:06,
2002-01,0.305,
2002-04,0.304,
2002-07,0.301,
2002-10,0.300,
2003-01,0.290,
2003-04,0.272,
2003-07,0.269,
2003-10,0.272,
2004-01,0.261,
2004-04,0.249,
2004-07,0.239,
2004-10,0.197,
2005-01,0.186,
2005-04,0.185,
2005-07,0.174,
2005-10,0.171,
2006-01,0.204,
2006-04,0.219,
2006-07,0.242,
2006-10,0.274,
2007-01,0.331,
2007-04,0.369,
2007-07,0.425,
2007-10,0.503,
2008-01,0.529,
2008-04,0.563,
2008-07,0.603,
2008-10,0.666,
2009-01,0.647,
2009-04,0.573,
2009-07,0.467,
2009-10,0.331,
2010-01,0.264,
2010-04,0.253,
2010-07,0.255,
2010-10,0.267,
2011-01,0.286,
2011-04,0.307,
2011-07,0.306,
2011-10,0.302,
2012-01,0.271,
2012-04,0.259,
2012-07,0.242,
2012-10,0.221,
2013-01,0.198,
2013-04,0.174,
2013-07,0.157,
2013-10,0.142,
2014-01,0.127,
2014-04,0.122,
2014-07,0.118,
