"",BBK01.OEGK01I,BBK01.OEGK01I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:07:14,
2002-01,2.306,
2002-04,2.240,
2002-07,2.207,
2002-10,2.169,
2003-01,2.160,
2003-04,2.025,
2003-07,2.571,
2003-10,2.534,
2004-01,2.487,
2004-04,2.133,
2004-07,0.975,
2004-10,0.947,
2005-01,0.938,
2005-04,0.924,
2005-07,0.956,
2005-10,1.211,
2006-01,1.072,
2006-04,1.049,
2006-07,1.060,
2006-10,0.660,
2007-01,0.691,
2007-04,0.697,
2007-07,0.755,
2007-10,0.820,
2008-01,0.788,
2008-04,0.799,
2008-07,0.795,
2008-10,0.786,
2009-01,0.797,
2009-04,0.927,
2009-07,1.001,
2009-10,1.124,
2010-01,1.177,
2010-04,1.218,
2010-07,1.248,
2010-10,1.285,
2011-01,1.207,
2011-04,1.208,
2011-07,1.207,
2011-10,1.228,
2012-01,1.123,
2012-04,1.188,
2012-07,1.202,
2012-10,1.255,
2013-01,1.158,
2013-04,1.182,
2013-07,1.213,
2013-10,1.246,
2014-01,1.275,
2014-04,1.331,
2014-07,1.383,
