"",BBK01.OEAH06I,BBK01.OEAH06I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:24:21,
2002-01,0.055,
2002-04,0.217,
2002-07,0.267,
2002-10,0.387,
2003-01,0.379,
2003-04,0.334,
2003-07,0.313,
2003-10,0.315,
2004-01,0.303,
2004-04,0.200,
2004-07,0.139,
2004-10,0.050,
2005-01,0.127,
2005-04,0.118,
2005-07,0.114,
2005-10,0.115,
2006-01,0.136,
2006-04,0.143,
2006-07,0.167,
2006-10,0.179,
2007-01,0.225,
2007-04,0.303,
2007-07,0.333,
2007-10,0.425,
2008-01,0.424,
2008-04,0.447,
2008-07,0.592,
2008-10,0.662,
2009-01,0.891,
2009-04,0.913,
2009-07,0.927,
2009-10,0.863,
2010-01,0.595,
2010-04,0.699,
2010-07,0.610,
2010-10,0.645,
2011-01,0.573,
2011-04,0.727,
2011-07,0.853,
2011-10,1.056,
2012-01,1.271,
2012-04,1.264,
2012-07,1.405,
2012-10,1.530,
2013-01,1.514,
2013-04,1.504,
2013-07,1.470,
2013-10,1.318,
2014-01,1.322,
2014-04,1.268,
2014-07,1.202,
