"",BBK01.CEFN20,BBK01.CEFN20_FLAGS
"",Transferable deposits                                                     debtor: Domestic financial corporations    creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:34:08,
1999-01,687.8,
1999-04,704.9,
1999-07,694.5,
1999-10,671.3,
2000-01,758.5,
2000-04,756.6,
2000-07,739.5,
2000-10,763.0,
2001-01,826.2,
2001-04,838.7,
2001-07,857.7,
2001-10,846.1,
2002-01,856.5,
2002-04,910.2,
2002-07,925.7,
2002-10,926.2,
2003-01,993.2,
2003-04,1035.9,
2003-07,1007.3,
2003-10,970.5,
2004-01,1068.0,
2004-04,1068.4,
2004-07,1080.8,
2004-10,1006.5,
2005-01,1136.2,
2005-04,1174.0,
2005-07,1164.9,
2005-10,1136.5,
2006-01,1187.5,
2006-04,1243.0,
2006-07,1239.5,
2006-10,1264.9,
2007-01,1316.7,
2007-04,1365.7,
2007-07,1382.2,
2007-10,1370.4,
2008-01,1458.5,
2008-04,1444.3,
2008-07,1547.0,
2008-10,1603.9,
2009-01,1684.4,
2009-04,1775.9,
2009-07,1719.5,
2009-10,1731.2,
2010-01,1842.8,
2010-04,2043.2,
2010-07,1905.6,
2010-10,1885.8,
2011-01,1873.5,
2011-04,1877.8,
2011-07,2086.2,
2011-10,2069.1,
2012-01,2429.0,
2012-04,2564.2,
2012-07,2566.9,
2012-10,2469.9,
2013-01,2364.8,
2013-04,2366.5,
2013-07,2384.7,
2013-10,2306.5,
2014-01,2332.3,
2014-04,2384.2,
2014-07,2421.5,
