"",BBSF2.M.1.S.I1252.REN01.I.F.MIZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I1252.REN01.I.F.MIZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Bonds funds / Sales receipts / Other insurance corporations / Distribution and cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:50:12,
2009-09,1529,
2009-10,1076,
2009-11,1484,
2009-12,2893,
2010-01,3703,
2010-02,1644,
2010-03,795,
2010-04,1767,
2010-05,889,
2010-06,1372,
2010-07,420,
2010-08,892,
2010-09,2049,
2010-10,2419,
2010-11,1563,
2010-12,1980,
2011-01,2609,
2011-02,1848,
2011-03,664,
2011-04,1563,
2011-05,303,
2011-06,737,
2011-07,423,
2011-08,820,
2011-09,835,
2011-10,978,
2011-11,1237,
2011-12,2596,
2012-01,3151,
2012-02,3066,
2012-03,1981,
2012-04,560,
2012-05,1150,
2012-06,2195,
2012-07,1134,
2012-08,1636,
2012-09,766,
2012-10,1899,
2012-11,2146,
2012-12,2114,
2013-01,3258,
2013-02,2840,
2013-03,2228,
2013-04,1187,
2013-05,937,
2013-06,1031,
2013-07,1154,
2013-08,281,
2013-09,924,
2013-10,907,
2013-11,6861,
2013-12,1452,
2014-01,2168,
2014-02,2467,
2014-03,1038,
2014-04,1029,
2014-05,2701,
2014-06,2107,
2014-07,3156,
2014-08,845,
2014-09,1582,
2014-10,1271,
2014-11,3411,
