"",BBSF2.M.1.T.00000.GEL01.I.F.MAK.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.GEL01.I.F.MAK.Z5.00000.000000.Z01.00_FLAGS
"",Public and Special Investors Funds / Money market funds / Net sales receipts,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:37:03,
2009-09,-180,
2009-10,-190,
2009-11,-244,
2009-12,-609,
2010-01,706,
2010-02,-133,
2010-03,-480,
2010-04,-282,
2010-05,-17,
2010-06,-299,
2010-07,-252,
2010-08,94,
2010-09,-163,
2010-10,-349,
2010-11,-31,
2010-12,65,
2011-01,21,
2011-02,-60,
2011-03,210,
2011-04,-297,
2011-05,-260,
2011-06,-113,
2011-07,-9,
2011-08,392,
2011-09,45,
2011-10,-36,
2011-11,40,
2011-12,-26,
2012-01,-332,
2012-02,-169,
2012-03,-241,
2012-04,-7,
2012-05,3,
2012-06,172,
2012-07,30,
2012-08,-154,
2012-09,-198,
2012-10,389,
2012-11,-48,
2012-12,1936,
2013-01,55,
2013-02,-548,
2013-03,-93,
2013-04,674,
2013-05,-138,
2013-06,-7,
2013-07,0,
2013-08,23,
2013-09,-434,
2013-10,-516,
2013-11,-94,
2013-12,-513,
2014-01,124,
2014-02,-52,
2014-03,-217,
2014-04,14,
2014-05,-81,
2014-06,-80,
2014-07,-33,
2014-08,-65,
2014-09,-21,
2014-10,-76,
2014-11,-40,
