"",BBK01.SUD101S,BBK01.SUD101S_FLAGS
"","Effective interest rates of German banks / New business (estimated) / Households' deposits, overnight",
unit,% p.a. (hypothetically euro-based),
unit multiplier,one,
last update,2014-01-30 11:39:52,
2000-01,1.2032,Estimated value
2000-02,1.2407,Estimated value
2000-03,1.2982,Estimated value
2000-04,1.3415,Estimated value
2000-05,1.4053,Estimated value
2000-06,1.4973,Estimated value
2000-07,1.5537,Estimated value
2000-08,1.5591,Estimated value
2000-09,1.6650,Estimated value
2000-10,1.6980,Estimated value
2000-11,1.7522,Estimated value
2000-12,1.7836,Estimated value
2001-01,1.8069,Estimated value
2001-02,1.8667,Estimated value
2001-03,1.8586,Estimated value
2001-04,1.8722,Estimated value
2001-05,1.8398,Estimated value
2001-06,1.8293,Estimated value
2001-07,1.8258,Estimated value
2001-08,1.8141,Estimated value
2001-09,1.7183,Estimated value
2001-10,1.5989,Estimated value
2001-11,1.4941,Estimated value
2001-12,1.4652,Estimated value
2002-01,1.4513,Estimated value
2002-02,1.4218,Estimated value
2002-03,1.4380,Estimated value
2002-04,1.4312,Estimated value
2002-05,1.4165,Estimated value
2002-06,1.4171,Estimated value
2002-07,1.4176,Estimated value
2002-08,1.3949,Estimated value
2002-09,1.3799,Estimated value
2002-10,1.3495,Estimated value
2002-11,1.3574,Estimated value
2002-12,1.2732,Estimated value
