"",BBK01.WXI027,BBK01.WXI027_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:40:04,
2009-09,15987,
2009-10,15716,
2009-11,16984,
2009-12,17334,
2010-01,22334,
2010-02,21258,
2010-03,20766,
2010-04,16671,
2010-05,19995,
2010-06,17951,
2010-07,16327,
2010-08,17761,
2010-09,17257,
2010-10,16479,
2010-11,20512,
2010-12,17823,
2011-01,18029,
2011-02,19386,
2011-03,17605,
2011-04,18135,
2011-05,18514,
2011-06,17400,
2011-07,18186,
2011-08,20719,
2011-09,22642,
2011-10,21499,
2011-11,22471,
2011-12,21362,
2012-01,22015,
2012-02,20458,
2012-03,19512,
2012-04,22237,
2012-05,27162,
2012-06,25481,
2012-07,24598,
2012-08,22236,
2012-09,21450,
2012-10,20427,
2012-11,23879,
2012-12,25594,
2013-01,26178,
2013-02,27706,
2013-03,29935,
2013-04,32153,
2013-05,33179,
2013-06,29136,
2013-07,28072,
2013-08,29111,
2013-09,28182,
2013-10,28561,
2013-11,26808,
2013-12,24547,
2014-01,27789,
2014-02,26087,
2014-03,24942,
2014-04,33373,
2014-05,32863,
2014-06,26406,
2014-07,29165,
2014-08,31249,
2014-09,34743,
2014-10,33426,
2014-11,35717,
