"",BBK01.OEBO04V,BBK01.OEBO04V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:16:13,
2002-01,-0.109,
2002-04,-0.422,
2002-07,0.005,
2002-10,0.054,
2003-01,-0.040,
2003-04,-0.077,
2003-07,0.036,
2003-10,-0.024,
2004-01,-0.058,
2004-04,-0.007,
2004-07,0.061,
2004-10,0.040,
2005-01,0.078,
2005-04,-0.048,
2005-07,-0.114,
2005-10,-0.094,
2006-01,-0.056,
2006-04,-0.056,
2006-07,-0.067,
2006-10,-0.024,
2007-01,0.209,
2007-04,0.025,
2007-07,0.008,
2007-10,0.136,
2008-01,0.048,
2008-04,0.055,
2008-07,-0.038,
2008-10,0.290,
2009-01,-0.050,
2009-04,-0.010,
2009-07,0.051,
2009-10,-0.161,
2010-01,-0.095,
2010-04,-0.123,
2010-07,-0.009,
2010-10,0.151,
2011-01,0.076,
2011-04,-0.061,
2011-07,-0.007,
2011-10,-0.061,
2012-01,0.142,
2012-04,-0.055,
2012-07,0.029,
2012-10,-0.101,
2013-01,-0.170,
2013-04,-0.125,
2013-07,-0.061,
2013-10,-0.009,
2014-01,-0.039,
2014-04,-0.057,
2014-07,0.133,
