"",BBK01.OEHM01V,BBK01.OEHM01V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:41:28,
2002-01,0.905,
2002-04,1.022,
2002-07,0.850,
2002-10,1.154,
2003-01,0.845,
2003-04,0.725,
2003-07,0.909,
2003-10,1.023,
2004-01,0.780,
2004-04,0.748,
2004-07,0.694,
2004-10,0.969,
2005-01,0.820,
2005-04,0.816,
2005-07,0.820,
2005-10,1.012,
2006-01,0.776,
2006-04,1.192,
2006-07,0.790,
2006-10,1.211,
2007-01,1.160,
2007-04,0.984,
2007-07,0.960,
2007-10,1.244,
2008-01,1.131,
2008-04,1.165,
2008-07,1.431,
2008-10,1.639,
2009-01,1.276,
2009-04,1.693,
2009-07,1.580,
2009-10,1.742,
2010-01,1.639,
2010-04,1.667,
2010-07,1.573,
2010-10,1.699,
2011-01,1.462,
2011-04,1.636,
2011-07,1.528,
2011-10,1.812,
2012-01,1.556,
2012-04,1.763,
2012-07,1.825,
2012-10,1.999,
2013-01,1.876,
2013-04,1.930,
2013-07,1.837,
2013-10,2.124,
2014-01,1.993,
2014-04,2.345,
2014-07,2.078,
