"",BBFB1.Q.N.DE.S6.S1.S1.T.B.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.S6.S1.S1.T.B.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods (fob/fob) / Balance / Other Asian countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:33:49,
1991-01,-4522.364,
1991-04,-4826.430,
1991-07,-4962.109,
1991-10,-3357.646,
1992-01,-4237.286,
1992-04,-3526.525,
1992-07,-3276.456,
1992-10,-2622.592,
1993-01,-3083.474,
1993-04,-2775.638,
1993-07,-3330.840,
1993-10,-1830.306,
1994-01,-3279.006,
1994-04,-1350.632,
1994-07,-1788.715,
1994-10,-1993.116,
1995-01,-1884.948,
1995-04,-2312.540,
1995-07,-2744.335,
1995-10,-1969.568,
1996-01,-2082.136,
1996-04,-1222.053,
1996-07,-920.141,
1996-10,237.710,
1997-01,-2605.640,
1997-04,-1506.699,
1997-07,-2263.020,
1997-10,-2581.068,
1998-01,-5000.038,
1998-04,-4987.388,
1998-07,-5414.069,
1998-10,-5703.315,
1999-01,-5891.761,
1999-04,-4696.884,
1999-07,-5858.695,
1999-10,-6140.563,
2000-01,-8231.364,
2000-04,-7348.266,
2000-07,-7303.373,
2000-10,-9166.558,
2001-01,-7427.034,
2001-04,-5236.176,
2001-07,-4991.710,
2001-10,-5916.617,
2002-01,-4053.659,
2002-04,-3074.242,
2002-07,-2904.672,
2002-10,-4953.448,
2003-01,-5650.343,
2003-04,-3804.857,
2003-07,-2311.059,
2003-10,-5883.803,
2004-01,-4259.559,
2004-04,-4302.661,
2004-07,-6654.068,
2004-10,-8977.337,
2005-01,-6065.226,
2005-04,-7466.083,
2005-07,-7134.257,
2005-10,-12491.230,
2006-01,-10557.824,
2006-04,-9680.428,
2006-07,-7794.367,
2006-10,-10470.105,
2007-01,-11432.027,
2007-04,-7805.562,
2007-07,-9504.667,
2007-10,-9351.256,
2008-01,-9128.154,
2008-04,-5316.294,
2008-07,-8781.769,
2008-10,-11635.598,
2009-01,-9584.436,
2009-04,-4130.551,
2009-07,-5087.237,
2009-10,-2825.140,
2010-01,-6133.108,
2010-04,-6801.942,
2010-07,-9353.697,
2010-10,-6709.343,
2011-01,-5610.063,
2011-04,-4190.450,
2011-07,-5136.960,
2011-10,-2491.848,
2012-01,-2465.738,
2012-04,1446.447,
2012-07,-1370.859,
2012-10,-82.715,
2013-01,-1411.045,
2013-04,1796.915,
2013-07,-33.184,
2013-10,2440.513,
2014-01,-1182.942,Provisional value
2014-04,2945.108,Provisional value
2014-07,855.910,Provisional value
