"",BBK01.CEH730,BBK01.CEH730_FLAGS
"",Other liabilities debtor: Monetary financial institutions                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:17:03,
1991-01,12.1,
1991-04,-9.0,
1991-07,24.2,
1991-10,7.1,
1992-01,13.1,
1992-04,2.7,
1992-07,9.7,
1992-10,17.5,
1993-01,-0.9,
1993-04,5.0,
1993-07,6.9,
1993-10,17.3,
1994-01,-4.3,
1994-04,-1.9,
1994-07,-1.8,
1994-10,15.1,
1995-01,18.8,
1995-04,6.9,
1995-07,7.7,
1995-10,4.7,
1996-01,6.7,
1996-04,1.7,
1996-07,4.9,
1996-10,4.1,
1997-01,4.6,
1997-04,-2.0,
1997-07,25.8,
1997-10,6.6,
1998-01,7.5,
1998-04,25.8,
1998-07,7.0,
1998-10,-13.7,
1999-01,1.5,
1999-04,-2.9,
1999-07,1.2,
1999-10,11.9,
2000-01,6.6,
2000-04,-24.1,
2000-07,5.4,
2000-10,16.9,
2001-01,13.8,
2001-04,-18.7,
2001-07,10.3,
2001-10,12.2,
2002-01,5.1,
2002-04,7.6,
2002-07,4.0,
2002-10,13.8,
2003-01,2.5,
2003-04,-2.4,
2003-07,-19.6,
2003-10,33.8,
2004-01,-31.0,
2004-04,-13.0,
2004-07,-1.0,
2004-10,38.2,
2005-01,-45.0,
2005-04,-13.1,
2005-07,8.9,
2005-10,6.6,
2006-01,-3.1,
2006-04,-5.5,
2006-07,23.1,
2006-10,34.4,
2007-01,-9.0,
2007-04,8.6,
2007-07,37.8,
2007-10,41.4,
2008-01,5.9,
2008-04,-3.1,
2008-07,4.3,
2008-10,44.9,
2009-01,-1.2,
2009-04,-65.3,
2009-07,13.1,
2009-10,2.6,
2010-01,-58.7,
2010-04,-10.7,
2010-07,-30.3,
2010-10,-29.7,
2011-01,-14.3,
2011-04,-6.2,
2011-07,-36.0,
2011-10,2.6,
2012-01,1.0,
2012-04,3.2,
2012-07,-4.5,
2012-10,27.4,
2013-01,5.1,
2013-04,-16.0,
2013-07,-13.2,
2013-10,31.5,
2014-01,0.7,
