"",BBSF2.M.1.S.I0015.GEF01.I.F.NAV.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0015.GEF01.I.F.NAV.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Mixed funds / Net asset value / Private non-profit institutions / Distribution and cumulative funds,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:52:43,
2004-01,-,Nothing exists
2004-02,-,Nothing exists
2004-03,-,Nothing exists
2004-04,-,Nothing exists
2004-05,-,Nothing exists
2004-06,-,Nothing exists
2004-07,-,Nothing exists
2004-08,-,Nothing exists
2004-09,-,Nothing exists
2004-10,-,Nothing exists
2004-11,-,Nothing exists
2004-12,-,Nothing exists
2005-01,-,Nothing exists
2005-02,-,Nothing exists
2005-03,53,
2005-04,-,Nothing exists
2005-05,-,Nothing exists
2005-06,23,
2005-07,-,Nothing exists
2005-08,27,
2005-09,28,
2005-10,50,
2005-11,199,
2005-12,201,
2006-01,202,
2006-02,205,
2006-03,204,
2006-04,204,
2006-05,1763,
2006-06,4901,
2006-07,5032,
2006-08,5149,
2006-09,5444,
2006-10,5586,
2006-11,5730,
2006-12,5914,
2007-01,6012,
2007-02,7936,
2007-03,7989,
2007-04,7843,
2007-05,8060,
2007-06,7866,
2007-07,7939,
2007-08,7947,
2007-09,8153,
2007-10,8891,
2007-11,8819,
2007-12,8837,
2008-01,8385,
2008-02,8439,
2008-03,8269,
2008-04,9103,
2008-05,8767,
2008-06,8220,
2008-07,8298,
2008-08,8407,
2008-09,7786,
2008-10,6972,
2008-11,7929,
2008-12,8052,
2009-01,8156,
2009-02,7848,
2009-03,7986,
2009-04,10060,
2009-05,10931,
2009-06,12157,
2009-07,12834,
2009-08,13161,
2009-09,8314,
2009-10,8270,
2009-11,8212,
2009-12,8597,
2010-01,8985,
2010-02,8859,
2010-03,9153,
2010-04,9331,
2010-05,9377,
2010-06,9315,
2010-07,9619,
2010-08,9649,
2010-09,9854,
2010-10,10091,
2010-11,10091,
2010-12,10141,
2011-01,10176,
2011-02,10275,
2011-03,10215,
2011-04,10369,
2011-05,10369,
2011-06,10350,
2011-07,10316,
2011-08,10000,
2011-09,10093,
2011-10,10998,
2011-11,10899,
2011-12,10982,
2012-01,11335,
2012-02,11556,
2012-03,11592,
2012-04,11627,
2012-05,11467,
2012-06,11752,
2012-07,12067,
2012-08,12206,
2012-09,12215,
2012-10,12273,
2012-11,11678,
2012-12,11821,
2013-01,11932,
2013-02,12076,
2013-03,12200,
2013-04,12384,
2013-05,11953,
2013-06,11808,
2013-07,12032,
2013-08,11970,
2013-09,12181,
2013-10,12287,
2013-11,12023,
2013-12,12186,
2014-01,11995,
2014-02,12153,
2014-03,12447,
2014-04,12487,
2014-05,12770,
2014-06,12790,
2014-07,12579,
2014-08,11187,
2014-09,11167,
2014-10,11222,
2014-11,11708,
