"",BBK01.OEHJ01S,BBK01.OEHJ01S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:02:17,
2002-01,1.104,
2002-04,1.100,
2002-07,1.114,
2002-10,1.230,
2003-01,1.085,
2003-04,1.119,
2003-07,1.195,
2003-10,1.382,
2004-01,1.211,
2004-04,1.228,
2004-07,1.332,
2004-10,1.501,
2005-01,1.331,
2005-04,1.378,
2005-07,1.408,
2005-10,1.581,
2006-01,1.433,
2006-04,1.446,
2006-07,1.485,
2006-10,1.713,
2007-01,1.607,
2007-04,1.620,
2007-07,1.655,
2007-10,1.757,
2008-01,1.667,
2008-04,1.815,
2008-07,1.705,
2008-10,1.759,
2009-01,1.584,
2009-04,1.612,
2009-07,1.592,
2009-10,1.664,
2010-01,1.640,
2010-04,1.727,
2010-07,1.928,
2010-10,1.825,
2011-01,1.691,
2011-04,1.758,
2011-07,1.837,
2011-10,1.845,
2012-01,1.793,
2012-04,1.804,
2012-07,1.790,
2012-10,1.763,
2013-01,1.630,
2013-04,1.664,
2013-07,1.765,
2013-10,1.820,
2014-01,1.820,
2014-04,1.920,
2014-07,1.984,
