"",BBK01.OEAC17G,BBK01.OEAC17G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:51:23,
2002-01,11.073,
2002-04,11.353,
2002-07,11.466,
2002-10,10.408,
2003-01,9.643,
2003-04,10.273,
2003-07,10.121,
2003-10,9.939,
2004-01,10.272,
2004-04,9.459,
2004-07,8.944,
2004-10,8.547,
2005-01,8.812,
2005-04,8.929,
2005-07,8.608,
2005-10,7.952,
2006-01,7.867,
2006-04,8.318,
2006-07,8.302,
2006-10,7.753,
2007-01,9.216,
2007-04,10.796,
2007-07,10.527,
2007-10,10.723,
2008-01,12.252,
2008-04,12.891,
2008-07,12.619,
2008-10,12.658,
2009-01,14.197,
2009-04,13.123,
2009-07,11.251,
2009-10,10.041,
2010-01,9.123,
2010-04,8.852,
2010-07,8.307,
2010-10,7.299,
2011-01,8.188,
2011-04,8.412,
2011-07,8.028,
2011-10,7.488,
2012-01,8.276,
2012-04,8.582,
2012-07,8.363,
2012-10,7.497,
2013-01,8.477,
2013-04,8.434,
2013-07,8.166,
2013-10,7.258,
2014-01,7.875,
2014-04,8.039,
2014-07,7.705,
