"",BBK01.OEAN01Q,BBK01.OEAN01Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:09,
2002-01,15.188,
2002-04,14.892,
2002-07,14.992,
2002-10,15.293,
2003-01,15.197,
2003-04,15.038,
2003-07,15.210,
2003-10,15.286,
2004-01,15.124,
2004-04,14.784,
2004-07,14.790,
2004-10,14.767,
2005-01,16.383,
2005-04,16.237,
2005-07,16.032,
2005-10,15.858,
2006-01,15.768,
2006-04,15.586,
2006-07,15.335,
2006-10,15.215,
2007-01,15.109,
2007-04,14.908,
2007-07,14.559,
2007-10,14.734,
2008-01,14.591,
2008-04,14.492,
2008-07,14.319,
2008-10,14.985,
2009-01,15.386,
2009-04,15.644,
2009-07,15.924,
2009-10,16.211,
2010-01,16.415,
2010-04,16.553,
2010-07,16.659,
2010-10,16.990,
2011-01,17.080,
2011-04,16.934,
2011-07,16.849,
2011-10,17.091,
2012-01,17.351,
2012-04,17.325,
2012-07,17.326,
2012-10,17.417,
2013-01,17.280,
2013-04,17.218,
2013-07,17.065,
2013-10,17.170,
2014-01,17.137,
2014-04,16.987,
2014-07,17.019,
