"",BBK01.OEAF12V,BBK01.OEAF12V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:10:34,
2002-01,0.861,
2002-04,1.010,
2002-07,1.037,
2002-10,1.048,
2003-01,0.953,
2003-04,0.944,
2003-07,0.982,
2003-10,0.924,
2004-01,0.870,
2004-04,0.870,
2004-07,0.865,
2004-10,0.830,
2005-01,0.898,
2005-04,0.871,
2005-07,0.851,
2005-10,0.850,
2006-01,0.784,
2006-04,0.751,
2006-07,0.758,
2006-10,0.738,
2007-01,0.725,
2007-04,0.712,
2007-07,0.678,
2007-10,0.655,
2008-01,0.611,
2008-04,0.586,
2008-07,0.613,
2008-10,0.622,
2009-01,0.597,
2009-04,0.602,
2009-07,0.591,
2009-10,0.576,
2010-01,0.538,
2010-04,0.746,
2010-07,0.750,
2010-10,0.547,
2011-01,0.529,
2011-04,0.546,
2011-07,0.632,
2011-10,0.581,
2012-01,0.568,
2012-04,0.578,
2012-07,0.416,
2012-10,0.409,
2013-01,0.389,
2013-04,0.389,
2013-07,0.408,
2013-10,0.394,
2014-01,0.387,
2014-04,0.396,
2014-07,0.403,
