"",BBK01.OEYB16O,BBK01.OEYB16O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:44,
2002-01,3.022,
2002-04,3.865,
2002-07,3.856,
2002-10,3.864,
2003-01,3.626,
2003-04,2.871,
2003-07,1.642,
2003-10,1.997,
2004-01,1.980,
2004-04,2.074,
2004-07,2.053,
2004-10,2.075,
2005-01,2.038,
2005-04,2.049,
2005-07,2.094,
2005-10,2.021,
2006-01,2.039,
2006-04,2.056,
2006-07,2.088,
2006-10,2.166,
2007-01,2.169,
2007-04,2.142,
2007-07,2.148,
2007-10,2.121,
2008-01,2.133,
2008-04,2.115,
2008-07,1.908,
2008-10,1.852,
2009-01,1.795,
2009-04,1.771,
2009-07,1.761,
2009-10,1.792,
2010-01,1.756,
2010-04,1.661,
2010-07,1.626,
2010-10,1.603,
2011-01,1.583,
2011-04,1.562,
2011-07,1.564,
2011-10,1.545,
2012-01,1.528,
2012-04,1.492,
2012-07,1.478,
2012-10,1.461,
2013-01,1.405,
2013-04,1.373,
2013-07,1.500,
2013-10,1.469,
2014-01,1.452,
2014-04,1.416,
2014-07,1.397,
