"",BBK01.OEYB12L,BBK01.OEYB12L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:09,
2002-01,54.017,
2002-04,53.512,
2002-07,54.573,
2002-10,53.599,
2003-01,56.974,
2003-04,57.979,
2003-07,58.248,
2003-10,59.089,
2004-01,59.748,
2004-04,60.484,
2004-07,61.189,
2004-10,62.427,
2005-01,61.785,
2005-04,61.813,
2005-07,61.339,
2005-10,57.564,
2006-01,56.334,
2006-04,55.911,
2006-07,55.128,
2006-10,54.449,
2007-01,54.465,
2007-04,53.075,
2007-07,53.431,
2007-10,54.879,
2008-01,57.741,
2008-04,54.766,
2008-07,57.627,
2008-10,58.028,
2009-01,56.877,
2009-04,56.027,
2009-07,50.092,
2009-10,48.840,
2010-01,48.521,
2010-04,48.248,
2010-07,47.532,
2010-10,47.000,
2011-01,45.721,
2011-04,44.726,
2011-07,44.036,
2011-10,42.154,
2012-01,41.334,
2012-04,40.197,
2012-07,38.983,
2012-10,37.995,
2013-01,37.056,
2013-04,35.996,
2013-07,35.135,
2013-10,34.646,
2014-01,33.230,
2014-04,31.560,
2014-07,31.164,
