"",BBFN1.M.DE.N.1.L.IR.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.IR.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from trade credit / Total / Iran,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:26:22,
1994-07,0.693,
1994-08,0.764,
1994-09,0.791,
1994-10,0.698,
1994-11,0.656,
1994-12,0.640,
1995-01,0.638,
1995-02,0.620,
1995-03,0.643,
1995-04,0.644,
1995-05,0.649,
1995-06,0.669,
1995-07,0.682,
1995-08,0.686,
1995-09,0.669,
1995-10,0.647,
1995-11,0.649,
1995-12,0.643,
1996-01,0.635,
1996-02,0.664,
1996-03,0.666,
1996-04,0.682,
1996-05,0.675,
1996-06,0.684,
1996-07,0.665,
1996-08,0.655,
1996-09,0.646,
1996-10,0.660,
1996-11,0.655,
1996-12,0.624,
1997-01,0.586,
1997-02,0.590,
1997-03,0.601,
1997-04,0.624,
1997-05,0.611,
1997-06,0.588,
1997-07,0.599,
1997-08,0.607,
1997-09,0.610,
1997-10,0.603,
1997-11,0.596,
1997-12,0.557,
1998-01,0.518,
1998-02,0.509,
1998-03,0.529,
1998-04,0.523,
1998-05,0.515,
1998-06,0.431,
1998-07,0.440,
1998-08,0.383,
1998-09,0.381,
1998-10,0.367,
1998-11,0.380,
1998-12,0.368,
1999-01,0.357,
1999-02,0.363,
1999-03,0.362,
1999-04,0.348,
1999-05,0.339,
1999-06,0.379,
1999-07,0.378,
1999-08,0.386,
1999-09,0.388,
1999-10,0.356,
1999-11,0.388,
1999-12,0.357,
2000-01,0.376,
2000-02,0.366,
2000-03,0.374,
2000-04,0.363,
2000-05,0.383,
2000-06,0.398,
2000-07,0.420,
2000-08,0.425,
2000-09,0.403,
2000-10,0.405,
2000-11,0.411,
2000-12,0.410,
2001-01,0.417,
2001-02,0.402,
2001-03,0.394,
2001-04,0.440,
2001-05,0.445,
2001-06,0.453,
2001-07,0.432,
2001-08,0.468,
2001-09,0.450,
2001-10,0.487,
2001-11,0.467,
2001-12,0.477,
2002-01,0.477,
2002-02,0.489,
2002-03,0.494,
2002-04,0.508,
2002-05,0.510,
2002-06,0.530,
2002-07,0.543,
2002-08,0.554,
2002-09,0.611,
2002-10,0.647,
2002-11,0.666,
2002-12,0.627,
2003-01,0.703,
2003-02,0.745,
2003-03,0.803,
2003-04,0.859,
2003-05,0.910,
2003-06,0.828,
2003-07,0.857,
2003-08,0.682,
2003-09,0.732,
2003-10,0.767,
2003-11,0.821,
2003-12,1.086,
2004-01,1.127,
2004-02,1.181,
2004-03,1.235,
2004-04,1.234,
2004-05,1.283,
2004-06,1.366,
2004-07,1.360,
2004-08,1.364,
2004-09,1.386,
2004-10,1.420,
2004-11,1.443,
2004-12,1.445,
2005-01,1.467,
2005-02,1.490,
2005-03,1.542,
2005-04,1.646,
2005-05,1.656,
2005-06,1.684,
2005-07,1.719,
2005-08,1.762,
2005-09,1.802,
2005-10,1.861,
2005-11,1.913,
2005-12,1.963,
2006-01,2.005,
2006-02,2.024,
2006-03,2.116,
2006-04,2.139,
2006-05,2.191,
2006-06,2.117,
2006-07,2.161,
2006-08,2.177,
2006-09,2.221,
2006-10,2.248,
2006-11,2.232,
2006-12,2.233,
2007-01,2.246,
2007-02,2.293,
2007-03,2.342,
2007-04,2.368,
2007-05,2.364,
2007-06,2.422,
2007-07,2.521,
2007-08,2.571,
2007-09,2.566,
2007-10,2.583,
2007-11,2.577,
2007-12,2.434,
2008-01,2.428,
2008-02,2.516,
2008-03,2.273,
2008-04,2.522,
2008-05,2.321,
2008-06,2.310,
2008-07,2.345,
2008-08,2.422,
2008-09,2.284,
2008-10,2.291,
2008-11,2.071,
2008-12,1.957,
2009-01,1.953,
2009-02,1.920,
2009-03,1.943,
2009-04,1.997,
2009-05,1.963,
2009-06,1.963,
2009-07,1.994,
2009-08,1.980,
2009-09,1.893,
2009-10,1.931,
2009-11,1.853,
2009-12,1.824,
2010-01,1.844,
2010-02,1.721,
2010-03,1.698,
2010-04,1.726,
2010-05,1.769,
2010-06,1.759,
2010-07,1.779,
2010-08,1.810,
2010-09,1.955,
2010-10,2.129,
2010-11,1.826,
2010-12,1.839,
2011-01,1.853,
2011-02,1.839,
2011-03,1.808,
2011-04,1.844,
2011-05,1.878,
2011-06,1.822,
2011-07,1.847,
2011-08,1.848,
2011-09,1.832,
2011-10,1.858,
2011-11,1.899,
2011-12,1.849,
2012-01,1.885,
2012-02,1.937,
2012-03,1.978,
2012-04,2.034,
2012-05,2.021,
2012-06,2.048,
2012-07,2.008,
2012-08,2.045,
2012-09,2.139,
2012-10,2.020,
2012-11,2.012,
2012-12,1.858,
2013-01,1.840,
2013-02,1.871,
2013-03,1.985,
2013-04,1.987,
2013-05,1.973,
2013-06,2.226,
2013-07,2.022,
2013-08,2.028,
2013-09,1.830,
2013-10,1.838,
2013-11,1.844,
2013-12,1.851,
2014-01,1.519,
2014-02,1.515,
2014-03,1.509,
2014-04,1.408,
2014-05,1.541,
2014-06,1.501,
2014-07,1.529,
2014-08,1.533,
2014-09,1.547,
2014-10,1.559,
2014-11,1.550,
2014-12,1.522,
