"",BBK01.OEAE24J,BBK01.OEAE24J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:43,
2002-01,0.160,
2002-04,0.160,
2002-07,0.146,
2002-10,0.133,
2003-01,0.130,
2003-04,0.133,
2003-07,0.125,
2003-10,0.123,
2004-01,0.118,
2004-04,0.119,
2004-07,0.115,
2004-10,0.094,
2005-01,0.074,
2005-04,0.074,
2005-07,0.049,
2005-10,0.042,
2006-01,0.038,
2006-04,0.039,
2006-07,0.053,
2006-10,0.046,
2007-01,0.052,
2007-04,0.055,
2007-07,0.056,
2007-10,0.049,
2008-01,0.052,
2008-04,0.044,
2008-07,0.050,
2008-10,0.045,
2009-01,0.051,
2009-04,0.050,
2009-07,0.053,
2009-10,0.044,
2010-01,0.020,
2010-04,0.057,
2010-07,0.062,
2010-10,0.077,
2011-01,0.067,
2011-04,0.064,
2011-07,0.064,
2011-10,0.068,
2012-01,0.064,
2012-04,0.068,
2012-07,0.064,
2012-10,0.062,
2013-01,0.071,
2013-04,0.078,
2013-07,0.079,
2013-10,0.073,
2014-01,0.065,
2014-04,0.058,
2014-07,0.058,
