"",BBK01.OEAD05N,BBK01.OEAD05N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:24,
2002-01,8.891,
2002-04,8.656,
2002-07,7.836,
2002-10,7.674,
2003-01,7.718,
2003-04,7.756,
2003-07,7.482,
2003-10,7.263,
2004-01,6.768,
2004-04,6.651,
2004-07,6.402,
2004-10,6.255,
2005-01,6.275,
2005-04,6.019,
2005-07,5.853,
2005-10,5.581,
2006-01,5.772,
2006-04,5.811,
2006-07,5.825,
2006-10,5.712,
2007-01,5.842,
2007-04,5.921,
2007-07,6.016,
2007-10,6.052,
2008-01,6.486,
2008-04,6.744,
2008-07,6.605,
2008-10,6.866,
2009-01,7.106,
2009-04,7.038,
2009-07,6.797,
2009-10,6.322,
2010-01,6.705,
2010-04,6.749,
2010-07,7.139,
2010-10,7.012,
2011-01,7.454,
2011-04,7.506,
2011-07,7.318,
2011-10,7.243,
2012-01,7.657,
2012-04,7.584,
2012-07,7.365,
2012-10,7.342,
2013-01,7.553,
2013-04,7.435,
2013-07,7.266,
2013-10,7.053,
2014-01,7.665,
2014-04,7.459,
2014-07,7.408,
