"",BBEX3.M.KPW.USD.CA.AA.A01,BBEX3.M.KPW.USD.CA.AA.A01_FLAGS
"",Exchange rates for the US dollar in the Democratic People's Republic of Korea  / USD 1 = KPW * ... (buying),
unit,KPW (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:18:33,
2010-01,98.05,comment
2010-02,101.00,
2010-03,101.50,
2010-04,100.10,
2010-05,105.05,
2010-06,104.64,
2010-07,102.10,
2010-08,103.20,
2010-09,99.20,
2010-10,98.66,
2010-11,101.10,
2010-12,100.80,
2011-01,98.90,
2011-02,98.77,
2011-03,97.55,
2011-04,94.90,
2011-05,96.55,
2011-06,96.34,
2011-07,96.55,
2011-08,96.00,
2011-09,98.90,
2011-10,98.00,
2011-11,99.68,
2011-12,100.84,
2012-01,100.79,
2012-02,99.27,
2012-03,100.00,
2012-04,100.44,
2012-05,103.32,
2012-06,102.80,
2012-07,103.59,
2012-08,102.38,
2012-09,101.17,
2012-10,100.97,
2012-11,100.65,
2012-12,99.95,
2013-01,98.38,
2013-02,100.15,
2013-03,101.00,comment
2013-04,.,No value available
2013-05,.,No value available
2013-06,.,No value available
2013-07,.,No value available
2013-08,99.47,
2013-09,98.44,
2013-10,98.23,comment
2013-11,98.30,
2013-12,98.14,comment
2014-01,98.52,comment
2014-02,97.58,
2014-03,97.40,comment
2014-04,97.40,comment
2014-05,98.02,comment
2014-06,97.68,comment
2014-07,98.65,
2014-08,99.54,comment
2014-09,101.36,comment
2014-10,101.56,
2014-11,102.34,comment
2014-12,103.48,
2015-01,107.58,
"","General: * According to unconfirmed press reports, a currency conversion took place at the end of November / beginning of December 2009 at a rate of 100 won (old) = 1 won (new); until the end of December 2009, the exchange rates were communicated to us by the Democratic People's Republic of Korea in (old) won.",
"",Source: Foreign Trade Bank of the Democratic People's Republic of Korea,
"","Comment on 2010-01: According to information provided by the Foreign Trade Bank of the Democratic People's Republic of Korea, the rates communicated in (new) won as at the end of January 2010 were valid from 1 January 2010. On the basis of the rates from the end of December (USD 1 = KPW (old) 131.80/132.50) and the beginning of January, and taking into account the currency conversion ratio (100:1), the (new) won depreciated against the US dollar by 98.7%.",
"","Comment on 2013-03: Thereafter, only middle rates were available; see BBEX2:M:KPW:USD:CA:AC:A01.",
"",Comment on 2013-10: Exchange rate as of 1 November 2013.,
"",Comment on 2013-12: Exchange rate as of 6 January 2014.,
"",Comment on 2014-01: Exchange rate as of 3 February 2014.,
"",Comment on 2014-03: Exchange rate as of 1 April 2014.,
"",Comment on 2014-04: Exchange rate as of 2 May 2014.,
"",Comment on 2014-05: Exchange rate as of 2 June 2014.,
"",Comment on 2014-06: Exchange rate as of 1 July 2014.,
"",Comment on 2014-08: Exchange rate as of 1 September 2014.,
"",Comment on 2014-09: Exchange rate as of 1 October 2014.,
"",Comment on 2014-11: Exchange rate as of 1 December 2014.,
