"",BBK01.OEAI03T,BBK01.OEAI03T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:51:21,
2002-01,3.107,
2002-04,3.036,
2002-07,2.936,
2002-10,2.878,
2003-01,2.827,
2003-04,2.604,
2003-07,2.567,
2003-10,2.433,
2004-01,2.574,
2004-04,2.374,
2004-07,2.266,
2004-10,2.393,
2005-01,2.369,
2005-04,2.333,
2005-07,2.382,
2005-10,2.533,
2006-01,2.610,
2006-04,2.540,
2006-07,2.799,
2006-10,3.226,
2007-01,3.206,
2007-04,3.307,
2007-07,3.673,
2007-10,3.514,
2008-01,3.679,
2008-04,4.254,
2008-07,4.271,
2008-10,4.001,
2009-01,3.302,
2009-04,2.583,
2009-07,2.330,
2009-10,2.036,
2010-01,2.006,
2010-04,1.912,
2010-07,1.839,
2010-10,1.846,
2011-01,1.870,
2011-04,1.902,
2011-07,2.077,
2011-10,2.417,
2012-01,2.748,
2012-04,2.499,
2012-07,2.780,
2012-10,2.661,
2013-01,2.618,
2013-04,2.237,
2013-07,2.174,
2013-10,2.068,
2014-01,2.272,
2014-04,2.406,
2014-07,2.206,
