"",BBK01.OEHB14R,BBK01.OEHB14R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:38:00,
2002-01,0.237,
2002-04,0.227,
2002-07,0.222,
2002-10,0.224,
2003-01,0.227,
2003-04,0.229,
2003-07,0.209,
2003-10,0.205,
2004-01,0.182,
2004-04,0.177,
2004-07,0.160,
2004-10,0.166,
2005-01,0.162,
2005-04,0.148,
2005-07,0.140,
2005-10,0.137,
2006-01,0.138,
2006-04,0.136,
2006-07,0.123,
2006-10,0.119,
2007-01,0.121,
2007-04,0.119,
2007-07,0.133,
2007-10,0.138,
2008-01,0.134,
2008-04,0.131,
2008-07,0.119,
2008-10,0.125,
2009-01,0.130,
2009-04,0.126,
2009-07,0.117,
2009-10,0.108,
2010-01,0.112,
2010-04,0.104,
2010-07,0.092,
2010-10,0.087,
2011-01,0.090,
2011-04,0.086,
2011-07,0.080,
2011-10,0.082,
2012-01,0.089,
2012-04,0.086,
2012-07,0.076,
2012-10,0.081,
2013-01,0.087,
2013-04,0.082,
2013-07,0.070,
2013-10,0.069,
2014-01,0.071,
2014-04,0.070,
2014-07,0.060,
