"",BBK01.OEXB14G,BBK01.OEXB14G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:24:58,
2002-01,0.936,
2002-04,1.014,
2002-07,1.006,
2002-10,1.019,
2003-01,1.001,
2003-04,1.076,
2003-07,1.214,
2003-10,1.215,
2004-01,1.151,
2004-04,1.174,
2004-07,1.161,
2004-10,1.223,
2005-01,0.930,
2005-04,0.907,
2005-07,0.424,
2005-10,0.429,
2006-01,0.428,
2006-04,0.446,
2006-07,0.445,
2006-10,0.423,
2007-01,0.403,
2007-04,0.396,
2007-07,0.396,
2007-10,0.399,
2008-01,0.431,
2008-04,0.456,
2008-07,0.455,
2008-10,0.445,
2009-01,0.464,
2009-04,0.462,
2009-07,0.469,
2009-10,0.447,
2010-01,0.494,
2010-04,0.422,
2010-07,0.417,
2010-10,0.377,
2011-01,0.385,
2011-04,0.360,
2011-07,0.350,
2011-10,0.322,
2012-01,0.359,
2012-04,0.332,
2012-07,0.337,
2012-10,0.288,
2013-01,0.355,
2013-04,0.343,
2013-07,0.358,
2013-10,0.364,
2014-01,0.393,
2014-04,0.377,
2014-07,0.381,
