"",BBK01.OEAH20V,BBK01.OEAH20V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:31:53,
2002-01,0.110,
2002-04,0.119,
2002-07,0.114,
2002-10,0.144,
2003-01,0.141,
2003-04,0.138,
2003-07,0.138,
2003-10,0.137,
2004-01,0.141,
2004-04,0.141,
2004-07,0.134,
2004-10,0.152,
2005-01,0.186,
2005-04,0.179,
2005-07,0.166,
2005-10,0.178,
2006-01,0.214,
2006-04,0.230,
2006-07,0.207,
2006-10,0.211,
2007-01,0.232,
2007-04,0.267,
2007-07,0.282,
2007-10,0.347,
2008-01,0.412,
2008-04,0.441,
2008-07,0.485,
2008-10,0.456,
2009-01,0.542,
2009-04,0.561,
2009-07,0.563,
2009-10,0.567,
2010-01,0.427,
2010-04,0.424,
2010-07,0.416,
2010-10,0.419,
2011-01,0.434,
2011-04,0.483,
2011-07,0.483,
2011-10,0.515,
2012-01,0.677,
2012-04,0.685,
2012-07,0.636,
2012-10,0.586,
2013-01,0.561,
2013-04,0.553,
2013-07,0.500,
2013-10,0.524,
2014-01,0.464,
2014-04,0.455,
2014-07,0.519,
