"",BBK01.OEAC06K,BBK01.OEAC06K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:50:06,
2002-01,1.290,
2002-04,1.284,
2002-07,1.466,
2002-10,1.370,
2003-01,1.320,
2003-04,1.309,
2003-07,1.311,
2003-10,1.268,
2004-01,1.063,
2004-04,1.080,
2004-07,1.067,
2004-10,1.052,
2005-01,0.999,
2005-04,0.985,
2005-07,1.039,
2005-10,0.973,
2006-01,0.924,
2006-04,0.749,
2006-07,0.726,
2006-10,0.731,
2007-01,0.698,
2007-04,0.684,
2007-07,0.663,
2007-10,0.661,
2008-01,0.660,
2008-04,0.893,
2008-07,0.922,
2008-10,0.905,
2009-01,0.861,
2009-04,0.878,
2009-07,0.901,
2009-10,0.892,
2010-01,0.853,
2010-04,0.895,
2010-07,0.899,
2010-10,0.887,
2011-01,0.996,
2011-04,1.010,
2011-07,1.043,
2011-10,1.042,
2012-01,1.064,
2012-04,1.082,
2012-07,1.110,
2012-10,1.051,
2013-01,1.042,
2013-04,1.056,
2013-07,1.076,
2013-10,0.900,
2014-01,0.921,
2014-04,0.941,
2014-07,0.957,
