"",BBK01.OEAA53U,BBK01.OEAA53U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:21:00,
2002-01,0.093,
2002-04,0.093,
2002-07,0.094,
2002-10,0.095,
2003-01,0.095,
2003-04,0.095,
2003-07,0.095,
2003-10,0.097,
2004-01,0.096,
2004-04,0.096,
2004-07,0.094,
2004-10,0.094,
2005-01,0.093,
2005-04,0.093,
2005-07,0.094,
2005-10,0.092,
2006-01,0.094,
2006-04,0.094,
2006-07,0.094,
2006-10,0.101,
2007-01,0.102,
2007-04,0.103,
2007-07,0.107,
2007-10,0.113,
2008-01,0.111,
2008-04,0.137,
2008-07,0.148,
2008-10,0.148,
2009-01,0.144,
2009-04,0.206,
2009-07,0.207,
2009-10,0.350,
2010-01,0.367,
2010-04,0.323,
2010-07,0.240,
2010-10,0.274,
2011-01,0.274,
2011-04,0.251,
2011-07,0.242,
2011-10,0.243,
2012-01,0.260,
2012-04,0.256,
2012-07,0.262,
2012-10,0.253,
2013-01,0.266,
2013-04,0.353,
2013-07,0.298,
2013-10,0.314,
2014-01,0.320,
2014-04,0.310,
2014-07,0.418,
