"",BBK01.OEAA21M,BBK01.OEAA21M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:17:46,
2002-01,42.535,
2002-04,42.151,
2002-07,42.254,
2002-10,43.066,
2003-01,43.154,
2003-04,44.076,
2003-07,44.328,
2003-10,44.759,
2004-01,44.814,
2004-04,45.065,
2004-07,45.505,
2004-10,44.021,
2005-01,43.619,
2005-04,42.216,
2005-07,41.542,
2005-10,42.939,
2006-01,42.960,
2006-04,42.844,
2006-07,42.491,
2006-10,44.143,
2007-01,44.325,
2007-04,44.766,
2007-07,46.391,
2007-10,48.058,
2008-01,47.955,
2008-04,48.579,
2008-07,50.593,
2008-10,51.631,
2009-01,51.930,
2009-04,52.848,
2009-07,53.532,
2009-10,54.602,
2010-01,56.087,
2010-04,55.256,
2010-07,54.988,
2010-10,56.679,
2011-01,56.166,
2011-04,56.909,
2011-07,57.847,
2011-10,58.728,
2012-01,58.783,
2012-04,60.048,
2012-07,60.481,
2012-10,60.929,
2013-01,60.881,
2013-04,60.402,
2013-07,60.325,
2013-10,60.623,
2014-01,60.303,
2014-04,60.260,
2014-07,60.664,
