"",BBFB1.Q.N.DE.A2.S1.S1.T.C.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.A2.S1.S1.T.C.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Receipts / North American countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:32:27,
1991-01,2448.763,
1991-04,2310.710,
1991-07,2173.000,
1991-10,2431.501,
1992-01,2175.868,
1992-04,2141.698,
1992-07,2216.576,
1992-10,2129.791,
1993-01,2157.245,
1993-04,2344.309,
1993-07,2119.339,
1993-10,2145.980,
1994-01,1788.191,
1994-04,1749.351,
1994-07,1553.852,
1994-10,1723.041,
1995-01,2056.880,
1995-04,2028.713,
1995-07,1994.395,
1995-10,2170.262,
1996-01,2286.503,
1996-04,2381.253,
1996-07,2392.299,
1996-10,2846.647,
1997-01,2843.625,
1997-04,3025.742,
1997-07,2964.209,
1997-10,3212.870,
1998-01,3018.501,
1998-04,3603.210,
1998-07,3637.534,
1998-10,3880.523,
1999-01,2271.978,
1999-04,3793.666,
1999-07,2408.903,
1999-10,3032.102,
2000-01,4201.593,
2000-04,3847.103,
2000-07,3968.932,
2000-10,4910.365,
2001-01,2418.535,
2001-04,2443.621,
2001-07,2112.708,
2001-10,2259.701,
2002-01,2993.099,
2002-04,2860.398,
2002-07,2579.269,
2002-10,2378.125,
2003-01,2614.766,
2003-04,2660.787,
2003-07,2609.772,
2003-10,2540.135,
2004-01,3888.486,
2004-04,3693.124,
2004-07,3844.685,
2004-10,4217.232,
2005-01,4671.063,
2005-04,4687.499,
2005-07,4968.694,
2005-10,5145.591,
2006-01,5774.771,
2006-04,5541.334,
2006-07,5573.754,
2006-10,5927.068,
2007-01,4968.718,
2007-04,4688.247,
2007-07,4521.253,
2007-10,4843.523,
2008-01,3972.080,
2008-04,4383.210,
2008-07,4267.987,
2008-10,4202.947,
2009-01,4416.346,
2009-04,4213.516,
2009-07,4078.432,
2009-10,3995.656,
2010-01,4411.611,
2010-04,4440.073,
2010-07,4345.687,
2010-10,4433.989,
2011-01,4486.519,
2011-04,4432.155,
2011-07,4417.741,
2011-10,4514.327,
2012-01,4574.834,
2012-04,4465.425,
2012-07,4408.548,
2012-10,4515.823,
2013-01,2860.126,
2013-04,2665.592,
2013-07,2514.125,
2013-10,2668.990,
2014-01,2769.770,Provisional value
2014-04,3024.393,Provisional value
2014-07,2410.692,Provisional value
