"",BBEX3.A.MRO.USD.CA.AA.A04,BBEX3.A.MRO.USD.CA.AA.A04_FLAGS
"",Exchange rates for the US dollar in Mauritania / USD 1 = MRO ... (buying),
unit,MRO (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-19 15:15:18,
1975,42.81,
1976,44.62,
1977,45.34,
1978,45.81,
1979,45.54,
1980,45.57,
1981,47.89,
1982,51.74,
1983,54.58,
1984,63.78,
1985,76.77,comment
1986,73.76,
1987,73.07,
1988,74.84,
1989,82.29,
1990,79.80,
1991,81.73,
1992,86.97,comment
1993,119.25,
1994,122.78,
1995,129.23,comment
1996,136.37,
1997,151.66,
1998,187.85,
1999,208.53,
2000,238.81,
2001,254.65,
2002,270.51,
2003,261.95,
2004,264.16,
2005,263.69,
2006,266.59,
2007,257.18,
2008,241.77,
2009,261.16,
2010,275.73,
2011,279.70,
2012,295.46,
2013,299.28,
2014,301.42,
"","Source: Banque Centrale de Mauritanie, Nouakchott.",
"",Methodology: Calculated on the basis of month-end rates.,
"","Comment on 1985: Between 14 January and 14 February 1985, technical adjustments were gradually made to the valuation methods for the ouguiya (inter alia the composition of the currency basket was changed). We recorded the following exchange rates (buying/selling rate) for the beginning and end of the adjustment period.  14 January 1985: USD 1 = MRO 66.80 / 67.80  14 February 1985: USD 1 = MRO 79.40 / 80.60  On the basis of these exchange rates, the ouguiya depreciated by 15.9% against the US dollar.",
"","Comment on 1992: On 4 October 1992, the ouguiya was devalued. We recorded the following exchange rates (buying/selling rate).  1 October 1992: USD 1 = MRO 81.41 / 82.65  4 October 1992: USD 1 = MRO 104.15 / 105.73  Calculated devaluation: 21.8%.",
"","Comment on 1995: In addition to the official exchange rate, there were reportedly other exchange rates in 1995; we do not have any details of these exchange rates or explanations as to their use.",
