"",BBFB1.Q.N.DE.I7.S1.S1.T.A.FA.O.F.L._T._X.N,BBFB1.Q.N.DE.I7.S1.S1.T.A.FA.O.F.L._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Long-term loans / Euro area 18 (fixed composition),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:40:48,
1991-01,2117.393,
1991-04,1969.837,
1991-07,322.445,
1991-10,-382.421,
1992-01,-1037.417,
1992-04,130.711,
1992-07,702.530,
1992-10,657.668,
1993-01,60.537,
1993-04,1322.482,
1993-07,431.292,
1993-10,800.167,
1994-01,41.504,
1994-04,901.063,
1994-07,258.789,
1994-10,1326.271,
1995-01,877.600,
1995-04,810.193,
1995-07,962.271,
1995-10,796.215,
1996-01,91.980,
1996-04,796.901,
1996-07,-998.905,
1996-10,2312.298,
1997-01,705.614,
1997-04,1091.965,
1997-07,2137.420,
1997-10,4053.815,
1998-01,3596.805,
1998-04,-143.365,
1998-07,2747.865,
1998-10,7074.060,
1999-01,2918.775,
1999-04,8165.251,
1999-07,2098.126,
1999-10,3597.013,
2000-01,4066.197,
2000-04,455.668,
2000-07,4896.202,
2000-10,3731.668,
2001-01,5789.721,
2001-04,4970.453,
2001-07,4617.369,
2001-10,7809.079,
2002-01,7465.743,
2002-04,5081.297,
2002-07,3533.540,
2002-10,6806.180,
2003-01,3927.791,
2003-04,5234.913,
2003-07,1555.505,
2003-10,2582.740,
2004-01,-5049.369,
2004-04,1102.531,
2004-07,-681.561,
2004-10,794.489,
2005-01,5251.993,
2005-04,15268.873,
2005-07,10792.282,
2005-10,7079.181,
2006-01,4146.332,
2006-04,7898.323,
2006-07,5773.886,
2006-10,8854.824,
2007-01,4291.049,
2007-04,10414.544,
2007-07,9811.974,
2007-10,8914.068,
2008-01,9015.740,
2008-04,26927.541,
2008-07,12245.970,
2008-10,6251.423,
2009-01,1200.378,
2009-04,-235.166,
2009-07,2474.540,
2009-10,695.118,
2010-01,-3718.273,
2010-04,5432.998,
2010-07,-134.569,
2010-10,399.332,
2011-01,1651.158,
2011-04,-961.141,
2011-07,6046.398,
2011-10,3970.934,
2012-01,3042.936,
2012-04,11288.552,
2012-07,-5358.714,
2012-10,5315.912,
2013-01,-290.463,
2013-04,2599.754,
2013-07,-3515.771,
2013-10,-3409.960,
2014-01,174.315,Provisional value
2014-04,-4789.008,Provisional value
2014-07,806.637,Provisional value
2014-10,1157.951,Provisional value
