"",BBSF2.M.1.P.00000.TOT01.I.F.SVG.DE.00122.F03300.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.SVG.DE.00122.F03300.Z01.00_FLAGS
"",Public funds / Funds total / Debt securities total / Germany / Monetary financial institutes (MFIs),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:30,
2009-09,15480,
2009-10,15202,
2009-11,15497,
2009-12,15120,
2010-01,15478,
2010-02,15395,
2010-03,15423,
2010-04,15373,
2010-05,15962,
2010-06,16329,
2010-07,16095,
2010-08,16644,
2010-09,16368,
2010-10,15398,
2010-11,15531,
2010-12,15521,
2011-01,14220,
2011-02,13571,
2011-03,13484,
2011-04,12893,
2011-05,13165,
2011-06,13027,
2011-07,12954,
2011-08,12695,
2011-09,12306,
2011-10,12389,
2011-11,12685,
2011-12,12562,
2012-01,12553,
2012-02,12760,
2012-03,12627,
2012-04,12912,
2012-05,12556,
2012-06,11845,
2012-07,12055,
2012-08,12081,
2012-09,11771,
2012-10,11696,
2012-11,11136,
2012-12,10970,
2013-01,10278,
2013-02,10269,
2013-03,10095,
2013-04,9931,
2013-05,9970,
2013-06,10205,
2013-07,10002,
2013-08,10351,
2013-09,10099,
2013-10,9715,
2013-11,9379,
2013-12,9100,
2014-01,9418,
2014-02,9045,
2014-03,8930,
2014-04,8890,
2014-05,8928,
2014-06,8966,
2014-07,8895,
2014-08,8966,
2014-09,9075,
2014-10,9185,
2014-11,9036,
