"",BBK01.OEAI09V,BBK01.OEAI09V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:03,
2002-01,4.160,
2002-04,4.074,
2002-07,4.117,
2002-10,4.118,
2003-01,3.926,
2003-04,3.578,
2003-07,3.320,
2003-10,3.293,
2004-01,3.084,
2004-04,2.827,
2004-07,2.836,
2004-10,3.080,
2005-01,3.292,
2005-04,3.339,
2005-07,3.179,
2005-10,3.158,
2006-01,3.136,
2006-04,3.304,
2006-07,3.431,
2006-10,3.737,
2007-01,4.005,
2007-04,4.026,
2007-07,4.333,
2007-10,4.602,
2008-01,4.531,
2008-04,4.426,
2008-07,4.425,
2008-10,4.936,
2009-01,4.830,
2009-04,4.799,
2009-07,4.610,
2009-10,4.476,
2010-01,4.269,
2010-04,4.095,
2010-07,3.795,
2010-10,3.705,
2011-01,3.786,
2011-04,3.729,
2011-07,3.609,
2011-10,3.453,
2012-01,3.285,
2012-04,3.160,
2012-07,2.982,
2012-10,2.727,
2013-01,2.456,
2013-04,2.159,
2013-07,1.973,
2013-10,1.901,
2014-01,1.837,
2014-04,1.826,
2014-07,1.947,
