"",BBK01.OECO06G,BBK01.OECO06G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:35,
2002-01,1.989,
2002-04,1.156,
2002-07,1.128,
2002-10,1.253,
2003-01,1.263,
2003-04,1.286,
2003-07,1.593,
2003-10,1.605,
2004-01,1.489,
2004-04,1.500,
2004-07,1.826,
2004-10,1.901,
2005-01,5.831,
2005-04,6.039,
2005-07,5.950,
2005-10,5.782,
2006-01,5.631,
2006-04,5.489,
2006-07,5.319,
2006-10,5.225,
2007-01,5.463,
2007-04,5.361,
2007-07,5.274,
2007-10,5.386,
2008-01,5.388,
2008-04,5.681,
2008-07,5.512,
2008-10,5.819,
2009-01,6.070,
2009-04,6.465,
2009-07,7.015,
2009-10,7.177,
2010-01,7.122,
2010-04,6.977,
2010-07,6.939,
2010-10,7.040,
2011-01,6.977,
2011-04,6.816,
2011-07,6.756,
2011-10,6.742,
2012-01,7.439,
2012-04,7.412,
2012-07,7.334,
2012-10,7.323,
2013-01,7.010,
2013-04,6.862,
2013-07,6.618,
2013-10,6.456,
2014-01,6.279,
2014-04,6.086,
2014-07,6.264,
